300	15	2	89
310	59	21	43
320	15	36	92
330	31	3	65
340	11	45	4
350	72	7	14
360	52	48	15
370	12	13	41
380	26	40	69
390	75	53	17
400	124	18	56
410	87	0	37
420	1219	73	51
430	28415	1332	675
440	52065	2761	924
450	84393	5235	1124
460	112957	11272	2054
470	137710	25981	3875
480	155146	41331	5120
490	170275	57106	5743
500	167216	96973	8143
510	149053	165992	10404
520	112020	246543	10852
530	76886	328273	12202
540	46970	365493	14740
550	22089	371585	15033
560	9634	362538	12783
570	4973	313758	13432
580	3221	263403	39292
590	2241	188817	172423
600	1692	104343	386859
610	1574	45274	503235
620	1602	23347	543558
630	2060	16466	539867
640	2951	13060	539398
650	4568	10768	535844
660	6169	11196	489471
670	8281	18431	533538
680	8780	31001	507143
690	403	2222	23974
700	65	134	949
710	67	2	84
720	55	10	51
730	33	12	22
740	36	86	5
750	8	46	59
760	41	22	33
770	31	89	74
780	66	37	7
790	11	60	23
800	47	23	105
810	79	77	38
820	42	10	16
830	11	5	10
840	83	120	40
850	33	69	1
860	50	83	5
870	18	107	8
880	66	23	55
890	27	14	88
900	43	39	72
910	52	40	84
920	146	2	7
930	157	26	47
940	278	3	31
950	369	13	95
960	425	44	1
970	391	90	27
980	497	75	53
990	501	172	17
1000	574	241	25
1010	590	431	12
1020	701	557	89
1030	673	842	26
1040	600	1066	2
1050	446	1336	30
1060	475	1627	62
1070	399	2013	51
1080	268	2070	61
1090	218	2275	87
1100	147	2342	35
