ENVI ASCII Plot File
Column 1: Wavelength
Column 2: BG
Column 3: RED
Column 4: NIR
     0.350000  0.000193620 8.03627e-007 1.23223e-006
     0.351000 3.24142e-005 1.40029e-006 1.55588e-007
     0.352000 2.43774e-005 2.85907e-006     0.000000
     0.353000 3.13314e-005 7.26385e-007 3.87406e-007
     0.354000 7.05653e-005 9.27881e-007 3.24758e-007
     0.355000  0.000250781 1.50672e-006     0.000000
     0.356000  0.000365213 1.00818e-006 2.52045e-007
     0.357000  0.000203229 9.57875e-007 7.18406e-007
     0.358000  0.000103294 9.62488e-007 5.38993e-007
     0.359000 9.71546e-005     0.000000 7.28296e-007
     0.360000  0.000166106 1.17341e-006 9.31825e-007
     0.361000  0.000414698 1.65801e-006 7.80240e-007
     0.362000  0.000713307 5.52737e-007 5.83445e-007
     0.363000  0.000577256 1.04971e-006 1.10803e-006
     0.364000  0.000364375 4.43953e-007 1.58158e-006
     0.365000  0.000305313 3.15732e-007 1.49973e-006
     0.366000  0.000390877 6.30773e-007 8.57851e-007
     0.367000  0.000692257 6.21244e-007     0.000000
     0.368000   0.00150410 9.22834e-007 1.15354e-007
     0.369000   0.00284255     0.000000 3.37782e-007
     0.370000   0.00382842 4.37834e-008 5.47293e-007
     0.371000   0.00465242 3.28344e-007 6.34799e-007
     0.372000   0.00631930 3.91868e-007 8.49047e-007
     0.373000   0.00976237 2.39189e-007 2.60933e-007
     0.374000    0.0145703 4.19473e-007     0.000000
     0.375000    0.0180385     0.000000 3.57755e-007
     0.376000    0.0200207 4.66851e-008     0.000000
     0.377000    0.0218267 6.91930e-007 7.66064e-007
     0.378000    0.0242618 4.50465e-007     0.000000
     0.379000    0.0272950 7.78547e-007 1.06690e-006
     0.380000    0.0307226 1.02122e-006 1.56375e-006
     0.381000    0.0345428 1.03395e-006 6.77416e-007
     0.382000    0.0387747 7.60045e-007 1.56009e-006
     0.383000    0.0439917 1.09384e-006 1.64077e-006
     0.384000    0.0504624 1.78877e-006 2.20966e-006
     0.385000    0.0577519 2.17658e-006 1.99520e-006
     0.386000    0.0649705 2.51971e-006 1.49821e-006
     0.387000    0.0738472 2.40048e-006 3.87174e-007
     0.388000    0.0841941 2.21580e-006 3.10212e-006
     0.389000    0.0944166 9.99456e-007 4.69744e-006
     0.390000     0.106511 3.84108e-006 6.77838e-007
     0.391000     0.118260 5.00581e-006 2.25261e-006
     0.392000     0.133003 4.33466e-006 1.95759e-006
     0.393000     0.149693 3.43308e-006 2.80889e-006
     0.394000     0.165094 3.41244e-006 5.28929e-006
     0.395000     0.180301 6.28831e-006 9.43247e-006
     0.396000     0.195794 7.18671e-006     0.000000
     0.397000     0.211043 6.42797e-006 5.57091e-006
     0.398000     0.225812 5.03543e-006 8.69756e-006
     0.399000     0.238864 5.81084e-006 1.08953e-005
     0.400000     0.252939 1.18013e-005 8.97928e-006
     0.401000     0.267031 1.32892e-005 1.16619e-005
     0.402000     0.280216 1.16741e-005 6.26417e-006
     0.403000     0.293292 7.44517e-006 5.65833e-006
     0.404000     0.305285 4.95458e-006 1.26961e-005
     0.405000     0.317703 5.79275e-006 1.51255e-005
     0.406000     0.331958 2.35221e-006 1.88177e-005
     0.407000     0.345701 1.43459e-005 5.94829e-006
     0.408000     0.359501 1.16533e-005 4.73415e-006
     0.409000     0.369315 9.74446e-006 1.23680e-005
     0.410000     0.382365 1.32477e-005 1.20788e-005
     0.411000     0.391125 1.12329e-005 2.24658e-005
     0.412000     0.396659 1.02656e-005 1.31400e-005
     0.413000     0.402998 2.10786e-005 1.01177e-005
     0.414000     0.412114 2.17436e-005 1.13067e-005
     0.415000     0.424980 1.08238e-005 1.80397e-005
     0.416000     0.433129 1.65631e-005     0.000000
     0.417000     0.441191 2.14728e-005     0.000000
     0.418000     0.455935 2.00930e-005 7.17608e-006
     0.419000     0.467597 1.55449e-005 8.25825e-006
     0.420000     0.480934 1.33713e-005 1.63426e-005
     0.421000     0.496192 1.62258e-005 2.94093e-005
     0.422000     0.508134 2.01339e-005 1.70364e-005
     0.423000     0.522738 2.32994e-005 1.48269e-005
     0.424000     0.536458 2.06182e-005 1.73627e-005
     0.425000     0.548227 1.49935e-005 3.33188e-005
     0.426000     0.550746 2.23878e-006 2.63057e-005
     0.427000     0.555760 2.26980e-006 2.38329e-005
     0.428000     0.561905 2.59394e-005     0.000000
     0.429000     0.564271 2.43766e-005 8.70592e-006
     0.430000     0.573140 1.17708e-005 2.00104e-005
     0.431000     0.584573 1.55419e-005 2.80950e-005
     0.432000     0.598240 2.49370e-005 2.06795e-005
     0.433000     0.616190 2.24303e-005 1.24613e-005
     0.434000     0.620676 6.25272e-006 8.75380e-006
     0.435000     0.625438 5.65484e-006 1.82212e-005
     0.436000     0.630122 1.32937e-005 2.21562e-005
     0.437000     0.640893 1.35374e-005 7.09102e-006
     0.438000     0.650015 1.43991e-005 4.58153e-006
     0.439000     0.654915 2.97301e-005 2.18021e-005
     0.440000     0.659888 2.13457e-005 1.46751e-005
     0.441000     0.666237 1.75498e-005 1.88998e-005
     0.442000     0.668124 2.03456e-005 5.42550e-006
     0.443000     0.670413 2.86294e-005 2.52212e-005
     0.444000     0.682232 3.81364e-005 2.91223e-005
     0.445000     0.691307 3.29528e-005 2.17348e-005
     0.446000     0.702884 2.34520e-005 3.26906e-005
     0.447000     0.716035 2.74169e-005 3.75178e-005
     0.448000     0.722375 3.70278e-005 4.06579e-005
     0.449000     0.726644 4.37869e-005 2.55424e-005
     0.450000     0.729782 5.42550e-005 2.12621e-005
     0.451000     0.732579 4.41996e-005 2.06265e-005
     0.452000     0.742485 3.36115e-005 2.76361e-005
