Database of Origin,Crowley et al 1991
Sample Description,Chlorides
Date Added,2017-03-22 23:56:03.748125

Data ID,CROW_4_4            
Mineral Name,Halite
Locality,"Bristol Dry Lake, California"
Formula,NaCl

Wavelength
792.0,0.72
793.0,0.72
794.0,0.72
795.0,0.72
796.0,0.721
797.0,0.721
798.0,0.721
799.0,0.722
800.0,0.722
801.0,0.722
802.0,0.722
803.0,0.721
804.0,0.721
805.0,0.719
809.0,0.72
813.0,0.72
817.0,0.719
821.0,0.719
825.0,0.719
829.0,0.72
833.0,0.719
837.0,0.719
841.0,0.718
845.0,0.719
849.0,0.72
853.0,0.721
857.0,0.722
861.0,0.722
865.0,0.722
869.0,0.722
873.0,0.721
877.0,0.721
881.0,0.722
885.0,0.722
889.0,0.723
893.0,0.724
897.0,0.725
901.0,0.725
905.0,0.724
909.0,0.723
913.0,0.723
917.0,0.725
921.0,0.726
925.0,0.725
929.0,0.725
933.0,0.726
937.0,0.727
941.0,0.727
945.0,0.727
949.0,0.727
953.0,0.727
957.0,0.727
961.0,0.726
965.0,0.726
969.0,0.725
973.0,0.726
977.0,0.728
981.0,0.729
985.0,0.729
989.0,0.729
993.0,0.73
997.0,0.729
1001.0,0.728
1005.0,0.728
1009.0,0.73
1013.0,0.732
1017.0,0.731
1021.0,0.73
1025.0,0.731
1029.0,0.731
1033.0,0.731
1037.0,0.732
1041.0,0.732
1045.0,0.733
1049.0,0.733
1053.0,0.733
1057.0,0.734
1061.0,0.734
1065.0,0.734
1069.0,0.733
1073.0,0.731
1077.0,0.731
1081.0,0.731
1085.0,0.732
1089.0,0.733
1093.0,0.734
1097.0,0.734
1101.0,0.734
1105.0,0.734
1109.0,0.733
1113.0,0.734
1117.0,0.734
1121.0,0.734
1125.0,0.734
1129.0,0.734
1133.0,0.734
1137.0,0.734
1141.0,0.733
1145.0,0.732
1149.0,0.732
1153.0,0.731
1157.0,0.732
1161.0,0.732
1165.0,0.731
1169.0,0.732
1173.0,0.732
1177.0,0.733
1181.0,0.733
1185.0,0.732
1189.0,0.732
1193.0,0.733
1197.0,0.733
1201.0,0.733
1205.0,0.732
1209.0,0.733
1213.0,0.733
1217.0,0.733
1221.0,0.733
1225.0,0.733
1229.0,0.734
1233.0,0.735
1237.0,0.737
1241.0,0.737
1245.0,0.738
1249.0,0.738
1253.0,0.738
1257.0,0.738
1261.0,0.738
1265.0,0.739
