Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:54:42.960483

Data ID,WWU_Sulf_73         
Sample ID,Mg_Sulf_MCZ_13
Mineral Name,80% Kieserite-20% Hexahydrite MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic magnesium sulfate

Wavelength
495.0,0.0100265
527.0,0.0100112
554.0,0.0100023
600.0,0.998508
640.0,0.995537
676.0,0.991943
751.0,0.978903
805.0,0.973767
867.0,0.971221
908.0,0.969337
937.0,0.965069
975.0,0.951002
1012.0,0.952624
