Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, Mastcam-Z resolution"
Date Added,2017-11-11 07:12:54.573819

Data ID,WWU_Sulf_95         
Sample ID,Mg_Sulf_MCZ_05
Mineral Name,60% Anhydrite-40% Anhydrite MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic calcium sulfate

Wavelength
495.0,0.754885
527.0,0.768064
554.0,0.774198
600.0,0.788282
640.0,0.796542
676.0,0.80537
751.0,0.822518
805.0,0.832089
867.0,0.842428
908.0,0.848691
937.0,0.851385
975.0,0.853994
1012.0,0.860909
