Database of Origin,Crowley et al 1991
Sample Description,Carbonates
Date Added,2017-03-22 23:56:03.567710

Data ID,CROW_2_4            
Mineral Name,Nahcolite
Formula,NaHCO3
Composition,Arm and Hammer Baking Soda

Wavelength
406.0,0.871
407.0,0.872
408.0,0.872
409.0,0.872
410.0,0.872
411.0,0.872
412.0,0.873
413.0,0.873
414.0,0.873
415.0,0.873
416.0,0.873
417.0,0.872
418.0,0.872
419.0,0.872
420.0,0.872
421.0,0.872
422.0,0.872
423.0,0.872
424.0,0.872
425.0,0.872
426.0,0.872
427.0,0.872
428.0,0.872
429.0,0.873
430.0,0.873
431.0,0.874
432.0,0.875
433.0,0.875
434.0,0.876
435.0,0.876
436.0,0.875
437.0,0.875
438.0,0.875
439.0,0.874
440.0,0.874
441.0,0.874
442.0,0.874
443.0,0.875
444.0,0.875
445.0,0.875
446.0,0.875
447.0,0.876
448.0,0.876
449.0,0.876
450.0,0.876
451.0,0.876
452.0,0.876
453.0,0.876
454.0,0.875
455.0,0.875
456.0,0.875
457.0,0.874
458.0,0.874
459.0,0.874
460.0,0.874
461.0,0.874
462.0,0.874
463.0,0.875
464.0,0.875
465.0,0.875
466.0,0.876
467.0,0.876
468.0,0.877
469.0,0.877
470.0,0.878
471.0,0.878
472.0,0.877
473.0,0.877
474.0,0.876
475.0,0.875
476.0,0.875
477.0,0.875
478.0,0.875
479.0,0.876
480.0,0.876
481.0,0.876
482.0,0.876
483.0,0.877
484.0,0.876
485.0,0.876
486.0,0.877
487.0,0.877
488.0,0.877
489.0,0.877
490.0,0.877
491.0,0.877
492.0,0.877
493.0,0.876
494.0,0.876
495.0,0.875
496.0,0.874
497.0,0.874
498.0,0.873
499.0,0.873
500.0,0.873
501.0,0.873
502.0,0.873
503.0,0.874
504.0,0.874
505.0,0.874
506.0,0.875
507.0,0.875
508.0,0.874
509.0,0.874
510.0,0.874
511.0,0.873
512.0,0.873
513.0,0.873
514.0,0.874
515.0,0.874
516.0,0.874
517.0,0.875
518.0,0.875
519.0,0.876
520.0,0.876
521.0,0.877
522.0,0.877
523.0,0.877
524.0,0.878
525.0,0.878
526.0,0.878
527.0,0.879
528.0,0.879
529.0,0.88
530.0,0.88
531.0,0.88
532.0,0.88
533.0,0.881
534.0,0.881
535.0,0.881
536.0,0.881
537.0,0.881
538.0,0.881
539.0,0.881
540.0,0.881
541.0,0.88
542.0,0.88
543.0,0.879
544.0,0.878
545.0,0.877
546.0,0.876
547.0,0.875
548.0,0.875
549.0,0.874
550.0,0.874
551.0,0.874
552.0,0.875
553.0,0.875
554.0,0.875
555.0,0.875
556.0,0.874
557.0,0.874
558.0,0.874
559.0,0.873
560.0,0.873
561.0,0.873
562.0,0.873
563.0,0.872
564.0,0.872
565.0,0.872
566.0,0.872
567.0,0.872
568.0,0.872
569.0,0.872
570.0,0.873
571.0,0.873
572.0,0.874
573.0,0.874
574.0,0.874
575.0,0.874
576.0,0.875
577.0,0.875
578.0,0.875
579.0,0.874
580.0,0.874
581.0,0.874
582.0,0.874
583.0,0.873
584.0,0.873
585.0,0.873
586.0,0.873
587.0,0.873
588.0,0.873
589.0,0.873
590.0,0.873
591.0,0.873
592.0,0.873
593.0,0.873
594.0,0.873
595.0,0.872
596.0,0.872
597.0,0.872
598.0,0.871
599.0,0.871
600.0,0.871
601.0,0.871
602.0,0.871
603.0,0.872
604.0,0.872
605.0,0.872
606.0,0.872
607.0,0.872
608.0,0.873
609.0,0.873
610.0,0.874
611.0,0.874
612.0,0.875
613.0,0.875
614.0,0.875
615.0,0.875
616.0,0.875
617.0,0.875
618.0,0.875
619.0,0.875
620.0,0.875
621.0,0.875
622.0,0.875
623.0,0.875
624.0,0.875
625.0,0.876
626.0,0.877
627.0,0.878
628.0,0.878
629.0,0.879
630.0,0.879
631.0,0.879
632.0,0.879
633.0,0.878
634.0,0.878
635.0,0.877
636.0,0.877
637.0,0.876
638.0,0.876
639.0,0.876
640.0,0.876
641.0,0.876
642.0,0.877
643.0,0.877
644.0,0.877
645.0,0.878
646.0,0.879
647.0,0.879
648.0,0.88
649.0,0.881
650.0,0.881
651.0,0.881
652.0,0.881
653.0,0.881
654.0,0.88
655.0,0.88
656.0,0.879
657.0,0.879
658.0,0.879
659.0,0.879
660.0,0.879
661.0,0.88
662.0,0.88
663.0,0.88
664.0,0.88
665.0,0.88
666.0,0.881
667.0,0.881
668.0,0.882
669.0,0.882
670.0,0.882
671.0,0.882
672.0,0.882
673.0,0.881
674.0,0.881
675.0,0.88
676.0,0.88
677.0,0.879
678.0,0.879
679.0,0.879
680.0,0.879
681.0,0.879
682.0,0.879
683.0,0.879
684.0,0.879
685.0,0.88
686.0,0.88
687.0,0.881
688.0,0.881
689.0,0.881
690.0,0.881
691.0,0.88
692.0,0.88
693.0,0.879
694.0,0.879
695.0,0.879
696.0,0.879
697.0,0.88
698.0,0.88
699.0,0.88
700.0,0.88
701.0,0.88
702.0,0.88
703.0,0.88
704.0,0.881
705.0,0.881
706.0,0.881
707.0,0.881
708.0,0.88
709.0,0.88
710.0,0.879
711.0,0.879
712.0,0.879
713.0,0.879
714.0,0.879
715.0,0.879
