Database of Origin,Western Washington University
Sample Description,Magnesium sulfates Grain Size Series
Date Added,2017-11-11 07:23:41.016146

Data ID,WWU_Sulf_138        
Sample ID,Mg_GS_MCZ_02
Mineral Name,Epsomite
Locality,Synthetic
Grain Size,1-2mm
Viewing Geometry,36 degrees
Resolution,3nm/30nm
Composition,Synthetic magnesium sulfate

Wavelength
495.0,0.657323
527.0,0.658127
554.0,0.658434
600.0,0.657255
640.0,0.654672
676.0,0.651709
751.0,0.647566
805.0,0.647742
867.0,0.645576
908.0,0.636106
937.0,0.6242
975.0,0.556016
1012.0,0.554131
