Database of Origin,Crowley et al 1991
Sample Description,Chlorides
Date Added,2017-03-22 23:56:03.733584

Data ID,CROW_4_3            
Mineral Name,Carnallite
Locality,"Barcelona, Spain"
Formula,KMgCl3 * 6H20

Wavelength
406.0,0.322
407.0,0.323
408.0,0.323
409.0,0.324
410.0,0.324
411.0,0.325
412.0,0.325
413.0,0.326
414.0,0.326
415.0,0.326
416.0,0.327
417.0,0.327
418.0,0.327
419.0,0.328
420.0,0.328
421.0,0.329
422.0,0.329
423.0,0.329
424.0,0.33
425.0,0.33
426.0,0.331
427.0,0.332
428.0,0.332
429.0,0.333
430.0,0.333
431.0,0.334
432.0,0.334
433.0,0.335
434.0,0.336
435.0,0.336
436.0,0.337
437.0,0.338
438.0,0.339
439.0,0.34
440.0,0.34
441.0,0.341
442.0,0.342
443.0,0.342
444.0,0.343
445.0,0.344
446.0,0.344
447.0,0.345
448.0,0.346
449.0,0.347
450.0,0.347
451.0,0.348
452.0,0.349
453.0,0.35
454.0,0.351
455.0,0.351
456.0,0.352
457.0,0.353
458.0,0.353
459.0,0.354
460.0,0.355
461.0,0.355
462.0,0.356
463.0,0.356
464.0,0.357
465.0,0.357
466.0,0.358
467.0,0.358
468.0,0.359
469.0,0.359
470.0,0.36
471.0,0.36
472.0,0.361
473.0,0.362
474.0,0.362
475.0,0.363
476.0,0.364
477.0,0.365
478.0,0.365
479.0,0.366
480.0,0.366
481.0,0.367
482.0,0.367
483.0,0.368
484.0,0.368
485.0,0.368
486.0,0.368
487.0,0.369
488.0,0.369
489.0,0.37
490.0,0.37
491.0,0.371
492.0,0.371
493.0,0.372
494.0,0.373
495.0,0.374
496.0,0.375
497.0,0.375
498.0,0.376
499.0,0.377
500.0,0.378
501.0,0.379
502.0,0.38
503.0,0.381
504.0,0.381
505.0,0.382
506.0,0.383
507.0,0.383
508.0,0.384
509.0,0.384
510.0,0.385
511.0,0.385
512.0,0.385
513.0,0.386
514.0,0.386
515.0,0.386
516.0,0.387
517.0,0.387
518.0,0.388
519.0,0.389
520.0,0.389
521.0,0.39
522.0,0.391
523.0,0.391
524.0,0.392
525.0,0.392
526.0,0.393
527.0,0.394
528.0,0.395
529.0,0.396
530.0,0.397
531.0,0.398
532.0,0.398
533.0,0.399
534.0,0.4
535.0,0.401
536.0,0.402
537.0,0.403
538.0,0.404
539.0,0.405
540.0,0.406
541.0,0.407
542.0,0.409
543.0,0.41
544.0,0.412
545.0,0.414
546.0,0.416
547.0,0.417
548.0,0.419
549.0,0.421
550.0,0.424
551.0,0.426
552.0,0.429
553.0,0.431
554.0,0.434
555.0,0.437
556.0,0.44
557.0,0.442
558.0,0.445
559.0,0.448
560.0,0.45
561.0,0.453
562.0,0.456
563.0,0.46
564.0,0.463
565.0,0.467
566.0,0.471
567.0,0.475
568.0,0.48
569.0,0.484
570.0,0.488
571.0,0.492
572.0,0.496
573.0,0.5
574.0,0.504
575.0,0.508
576.0,0.511
577.0,0.515
578.0,0.519
579.0,0.522
580.0,0.526
581.0,0.53
582.0,0.533
583.0,0.537
584.0,0.541
585.0,0.545
586.0,0.549
587.0,0.553
588.0,0.557
589.0,0.561
590.0,0.564
591.0,0.567
592.0,0.57
593.0,0.573
594.0,0.576
595.0,0.579
596.0,0.582
597.0,0.584
598.0,0.587
599.0,0.589
600.0,0.592
601.0,0.594
602.0,0.597
603.0,0.599
604.0,0.602
605.0,0.604
606.0,0.606
607.0,0.607
608.0,0.609
609.0,0.61
610.0,0.611
611.0,0.613
612.0,0.613
613.0,0.614
614.0,0.615
615.0,0.616
616.0,0.616
617.0,0.617
618.0,0.617
619.0,0.618
620.0,0.619
621.0,0.62
622.0,0.621
623.0,0.621
624.0,0.622
625.0,0.623
626.0,0.624
627.0,0.624
628.0,0.625
629.0,0.626
630.0,0.627
631.0,0.628
632.0,0.629
633.0,0.629
634.0,0.63
635.0,0.63
636.0,0.63
637.0,0.63
638.0,0.631
639.0,0.631
640.0,0.631
641.0,0.632
642.0,0.632
643.0,0.632
644.0,0.632
645.0,0.632
646.0,0.633
647.0,0.633
648.0,0.634
649.0,0.635
650.0,0.635
651.0,0.636
652.0,0.637
653.0,0.638
654.0,0.639
655.0,0.639
656.0,0.64
657.0,0.64
658.0,0.64
