Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:02.977341

Data ID,Albite_MIT_M2393    
Sample ID,M2393
Mineral Name,Albite
Locality,South Dakota_USA

Wavelength
691.0,0.708661413
692.0,0.708992317
693.0,0.709381961
694.0,0.709761403
695.0,0.710106074
696.0,0.710462976
697.0,0.710855468
698.0,0.711238016
699.0,0.711619944
700.0,0.711982676
701.0,0.712323867
702.0,0.712749735
703.0,0.713130148
704.0,0.713483376
705.0,0.713939408
706.0,0.714318302
707.0,0.714690226
708.0,0.715101299
709.0,0.715477058
710.0,0.715859659
711.0,0.716263706
712.0,0.716687668
713.0,0.717105023
714.0,0.717499555
715.0,0.717878818
716.0,0.718266333
717.0,0.718642796
718.0,0.719040641
719.0,0.71946865
720.0,0.719885845
721.0,0.720252354
722.0,0.720625199
723.0,0.721050978
724.0,0.72140253
725.0,0.721813681
726.0,0.722271249
727.0,0.722665137
728.0,0.723005114
729.0,0.723353514
730.0,0.723738467
731.0,0.724127145
732.0,0.724495928
733.0,0.72484328
734.0,0.725185618
735.0,0.725570829
736.0,0.725938517
737.0,0.7263023
738.0,0.72670727
739.0,0.727105327
740.0,0.72751242
741.0,0.72792078
742.0,0.728290287
743.0,0.72871144
744.0,0.729147499
745.0,0.729563066
746.0,0.730004868
747.0,0.730429461
748.0,0.730835837
749.0,0.73124012
750.0,0.731650692
751.0,0.732029043
752.0,0.732393731
753.0,0.732808487
754.0,0.733214642
755.0,0.733573226
756.0,0.733893182
757.0,0.734261379
758.0,0.734640599
759.0,0.735018158
760.0,0.735389593
761.0,0.735760467
762.0,0.73611122
763.0,0.736446656
764.0,0.736785218
765.0,0.737112828
766.0,0.737481263
767.0,0.737877435
768.0,0.73820771
769.0,0.738539837
770.0,0.738890218
771.0,0.739254273
772.0,0.739602246
773.0,0.739968664
774.0,0.740319751
775.0,0.740614506
776.0,0.74089404
777.0,0.741228601
778.0,0.741612327
779.0,0.741978809
780.0,0.742294101
781.0,0.742637247
782.0,0.743017828
783.0,0.743326086
784.0,0.743645377
785.0,0.743984349
786.0,0.744319662
787.0,0.744592375
788.0,0.744838932
789.0,0.745104167
790.0,0.745422717
791.0,0.745765355
792.0,0.746084797
793.0,0.746386604
794.0,0.746710888
795.0,0.746988983
796.0,0.747277081
