Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, Mastcam-Z resolution"
Date Added,2017-11-11 07:12:54.769880

Data ID,WWU_Sulf_117        
Sample ID,Mg_Sulf_MCZ_27
Mineral Name,40% Bassanite-60% Gypsum MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic calcium sulfate

Wavelength
495.0,0.689313
527.0,0.702468
554.0,0.707945
600.0,0.720634
640.0,0.727798
676.0,0.735705
751.0,0.75325
805.0,0.763317
867.0,0.773924
908.0,0.780336
937.0,0.783651
975.0,0.784896
1012.0,0.790887
