Database of Origin,ASTER / ECOSTRESS Spectral Library
Sample Description,ASTER / ECOSTRESS Fine Jarosite
Other Information,mineral.sulfate.none.fine.vswir.so-7a.jpl.perkin.spectrum.txt
Date Added,2018-06-29 20:04:54.092525

Data ID,ASTR_732            
Sample ID,SO-7A
Mineral Name,Jarosite
Locality,Mexico/ Chihuahua.
Grain Size,0-45um
Formula,KFe_3^3+(SO_4)_2(OH)_6
Material Class,sulfate

Wavelength
400.0,0.041845999999999994
401.0,0.042642
402.0,0.043468
403.0,0.044299
404.0,0.045185
405.0,0.046064
406.0,0.047022
407.0,0.047998000000000006
408.0,0.048988
409.0,0.050006
410.0,0.051059
411.0,0.05215
412.0,0.05318
413.0,0.054237
414.0,0.055303000000000005
415.0,0.056348
416.0,0.057372
417.0,0.058358999999999994
418.0,0.059305000000000004
419.0,0.060243000000000005
420.0,0.061127
421.0,0.061982999999999996
422.0,0.062826
423.0,0.063605
424.0,0.064322
425.0,0.06500600000000001
426.0,0.06559
427.0,0.066125
428.0,0.06660300000000001
429.0,0.066988
430.0,0.06730699999999999
431.0,0.067573
432.0,0.067749
433.0,0.067941
434.0,0.068131
435.0,0.068302
436.0,0.068512
437.0,0.06879299999999999
438.0,0.069276
439.0,0.06989200000000001
440.0,0.07063900000000001
441.0,0.071499
442.0,0.072555
443.0,0.073765
444.0,0.075159
445.0,0.076679
446.0,0.078346
447.0,0.080147
448.0,0.081981
449.0,0.08389300000000001
450.0,0.08587199999999999
451.0,0.08785399999999999
452.0,0.08972300000000001
453.0,0.091758
454.0,0.093803
455.0,0.09590299999999999
456.0,0.097964
457.0,0.099997
458.0,0.10195800000000001
459.0,0.10394
460.0,0.10590899999999999
461.0,0.10786199999999999
462.0,0.10982900000000001
463.0,0.11171900000000001
464.0,0.113664
465.0,0.115696
466.0,0.117728
467.0,0.11962999999999999
468.0,0.121752
469.0,0.12386599999999999
470.0,0.126024
471.0,0.12824
472.0,0.130499
473.0,0.13283799999999998
474.0,0.13519899999999999
475.0,0.137722
476.0,0.14013
477.0,0.142581
478.0,0.145024
479.0,0.147474
480.0,0.149952
481.0,0.152492
482.0,0.155176
483.0,0.157918
484.0,0.160787
485.0,0.16360499999999997
486.0,0.166561
487.0,0.16933399999999998
488.0,0.172177
489.0,0.17497
490.0,0.177714
491.0,0.180095
492.0,0.18276499999999998
493.0,0.18543800000000002
494.0,0.188019
495.0,0.19070499999999999
496.0,0.193154
497.0,0.195706
498.0,0.19807
499.0,0.20041799999999999
500.0,0.202788
501.0,0.205162
502.0,0.207326
503.0,0.209527
504.0,0.21167999999999998
505.0,0.213749
506.0,0.215821
507.0,0.217789
508.0,0.21971900000000003
509.0,0.22164999999999999
510.0,0.22348400000000002
511.0,0.225342
512.0,0.227195
513.0,0.22889299999999999
514.0,0.23064199999999999
515.0,0.23228100000000002
516.0,0.233915
517.0,0.235518
518.0,0.237062
519.0,0.238584
520.0,0.240196
521.0,0.24174199999999998
522.0,0.243211
523.0,0.244704
524.0,0.246174
525.0,0.24762399999999998
526.0,0.24902999999999997
527.0,0.250454
528.0,0.251835
529.0,0.253276
530.0,0.254598
531.0,0.255996
532.0,0.257364
533.0,0.25869
534.0,0.260112
535.0,0.261448
536.0,0.262808
537.0,0.26417999999999997
538.0,0.265513
539.0,0.266843
540.0,0.268156
541.0,0.269528
542.0,0.270873
543.0,0.272193
544.0,0.273494
545.0,0.274883
546.0,0.27622199999999997
547.0,0.27754
548.0,0.278839
549.0,0.280127
550.0,0.28153
551.0,0.282936
552.0,0.284295
553.0,0.285644
554.0,0.287007
555.0,0.288467
556.0,0.289875
557.0,0.291298
558.0,0.29274
559.0,0.294204
560.0,0.295642
561.0,0.297222
562.0,0.29901
563.0,0.300547
564.0,0.302075
565.0,0.30366
566.0,0.305211
567.0,0.306859
568.0,0.308512
569.0,0.310144
570.0,0.311829
571.0,0.313585
572.0,0.315308
573.0,0.317004
574.0,0.318876
575.0,0.32073799999999997
576.0,0.32244
577.0,0.32415900000000003
578.0,0.326125
579.0,0.328061
580.0,0.330132
581.0,0.33222799999999997
582.0,0.33435699999999996
583.0,0.336464
584.0,0.33866599999999997
585.0,0.340864
586.0,0.343136
587.0,0.34537599999999996
588.0,0.347647
589.0,0.350063
590.0,0.352351
591.0,0.354538
592.0,0.357036
593.0,0.35962200000000005
594.0,0.36214799999999997
595.0,0.36479999999999996
596.0,0.367393
597.0,0.36993000000000004
598.0,0.372577
599.0,0.37525
600.0,0.377872
601.0,0.380662
602.0,0.38345599999999996
603.0,0.386336
604.0,0.389169
605.0,0.392031
606.0,0.394947
607.0,0.397874
608.0,0.400775
609.0,0.403793
610.0,0.406789
611.0,0.409772
612.0,0.41281199999999996
613.0,0.415793
614.0,0.418827
615.0,0.42182699999999995
616.0,0.424729
617.0,0.427735
618.0,0.430771
619.0,0.433839
620.0,0.436774
621.0,0.43967599999999996
622.0,0.44271900000000003
623.0,0.445667
624.0,0.44856900000000005
625.0,0.45155500000000004
626.0,0.454418
627.0,0.45725499999999997
628.0,0.460221
629.0,0.46307499999999996
630.0,0.46586799999999995
631.0,0.468634
632.0,0.47143
633.0,0.474187
634.0,0.47684600000000005
635.0,0.47948
636.0,0.48210200000000003
637.0,0.484823
638.0,0.487459
639.0,0.490024
640.0,0.492584
641.0,0.495001
642.0,0.49752
643.0,0.500125
644.0,0.502641
645.0,0.505
646.0,0.507271
647.0,0.509497
648.0,0.511816
649.0,0.51422
650.0,0.516405
651.0,0.518588
652.0,0.5208010000000001
653.0,0.522998
654.0,0.525263
655.0,0.527321
656.0,0.529364
657.0,0.531421
658.0,0.533563
659.0,0.535718
660.0,0.5377069999999999
661.0,0.539596
662.0,0.541607
663.0,0.543519
664.0,0.545492
665.0,0.547471
666.0,0.549356
667.0,0.551213
668.0,0.553021
669.0,0.554926
670.0,0.556809
671.0,0.558776
672.0,0.560569
673.0,0.562418
674.0,0.564171
675.0,0.5659259999999999
676.0,0.567851
677.0,0.5696410000000001
678.0,0.57145
679.0,0.573006
680.0,0.574685
681.0,0.576446
682.0,0.578265
683.0,0.580032
684.0,0.581562
685.0,0.5833229999999999
686.0,0.585216
687.0,0.586863
688.0,0.5886359999999999
689.0,0.590364
690.0,0.591917
691.0,0.59347
692.0,0.595071
693.0,0.59683
694.0,0.598634
695.0,0.600224
696.0,0.60161
697.0,0.603181
698.0,0.604866
699.0,0.606429
700.0,0.607919
701.0,0.609531
702.0,0.610914
703.0,0.6123850000000001
704.0,0.613876
705.0,0.615381
706.0,0.616886
707.0,0.618306
708.0,0.619616
709.0,0.6210450000000001
710.0,0.6224190000000001
711.0,0.623507
712.0,0.624772
713.0,0.625962
714.0,0.627097
715.0,0.62826
716.0,0.629476
717.0,0.630553
718.0,0.63154
719.0,0.632495
720.0,0.633259
721.0,0.634393
722.0,0.635083
723.0,0.6360410000000001
724.0,0.636761
725.0,0.63739
726.0,0.63796
727.0,0.6386310000000001
728.0,0.639374
729.0,0.639327
730.0,0.640142
731.0,0.640513
732.0,0.640679
733.0,0.6408839999999999
734.0,0.6410819999999999
735.0,0.6411960000000001
736.0,0.641293
737.0,0.64131
738.0,0.641135
739.0,0.641271
740.0,0.640929
741.0,0.640849
742.0,0.640743
743.0,0.640226
744.0,0.6400279999999999
745.0,0.639311
746.0,0.638898
747.0,0.638235
748.0,0.637582
749.0,0.637146
750.0,0.636519
751.0,0.636091
752.0,0.634943
753.0,0.634064
754.0,0.633544
755.0,0.632899
756.0,0.631579
757.0,0.630769
758.0,0.62949
759.0,0.62834
760.0,0.627495
761.0,0.626213
762.0,0.625181
763.0,0.6239589999999999
764.0,0.622762
765.0,0.621254
766.0,0.620045
767.0,0.6188859999999999
768.0,0.617394
769.0,0.61622
770.0,0.614818
771.0,0.613221
772.0,0.61224
773.0,0.610467
774.0,0.609162
775.0,0.607562
776.0,0.606456
777.0,0.6046309999999999
778.0,0.603228
779.0,0.602005
780.0,0.600048
781.0,0.598557
782.0,0.597204
783.0,0.59546
784.0,0.593798
785.0,0.5927
786.0,0.590923
787.0,0.588946
788.0,0.587737
789.0,0.585943
790.0,0.584184
791.0,0.583054
792.0,0.581287
793.0,0.5797399999999999
794.0,0.578117
795.0,0.57674
796.0,0.575175
797.0,0.573426
798.0,0.572047
799.0,0.570727
800.0,0.569243
801.0,0.56772
802.0,0.56614
803.0,0.5646249999999999
804.0,0.563173
805.0,0.561167
806.0,0.559802
807.0,0.558167
808.0,0.556658
809.0,0.555069
810.0,0.554195
811.0,0.552362
812.0,0.550376
813.0,0.549495
814.0,0.547646
815.0,0.5464249999999999
816.0,0.5452239999999999
817.0,0.543462
818.0,0.5419160000000001
819.0,0.540864
820.0,0.539314
821.0,0.537589
822.0,0.536476
823.0,0.53543
824.0,0.533603
825.0,0.532542
826.0,0.531382
827.0,0.529903
828.0,0.528694
829.0,0.527522
830.0,0.525873
831.0,0.524921
832.0,0.52366
833.0,0.522302
834.0,0.521134
835.0,0.520162
836.0,0.518466
837.0,0.517596
838.0,0.51646
839.0,0.515301
840.0,0.513991
841.0,0.513228
842.0,0.512018
843.0,0.5107889999999999
844.0,0.509752
845.0,0.508808
846.0,0.507961
847.0,0.50692
848.0,0.506192
849.0,0.5049199999999999
850.0,0.5044959999999999
851.0,0.502911
852.0,0.5017130000000001
853.0,0.501111
854.0,0.500104
855.0,0.49927900000000003
856.0,0.498373
857.0,0.49762799999999996
858.0,0.496511
859.0,0.49584000000000006
860.0,0.49353499999999995
861.0,0.491164
862.0,0.490225
863.0,0.48936100000000005
864.0,0.488924
865.0,0.488644
866.0,0.487006
867.0,0.486278
868.0,0.48578699999999997
869.0,0.485642
870.0,0.484734
871.0,0.484357
872.0,0.48319
873.0,0.48228099999999996
874.0,0.481719
875.0,0.48173
876.0,0.48078299999999996
877.0,0.480334
878.0,0.479454
879.0,0.478766
880.0,0.47820500000000005
881.0,0.477976
882.0,0.477099
883.0,0.477061
884.0,0.47613999999999995
885.0,0.475807
886.0,0.474989
887.0,0.47475900000000004
888.0,0.47442999999999996
889.0,0.474189
890.0,0.47362299999999996
891.0,0.47347900000000004
892.0,0.472563
893.0,0.472158
894.0,0.472358
895.0,0.471827
896.0,0.47125100000000003
897.0,0.47143599999999997
898.0,0.470458
899.0,0.470109
900.0,0.46999
901.0,0.469779
902.0,0.469728
903.0,0.469718
904.0,0.469669
905.0,0.469897
906.0,0.46950200000000003
907.0,0.469028
908.0,0.46890099999999996
909.0,0.468847
910.0,0.46838799999999997
911.0,0.46828899999999996
912.0,0.46859
913.0,0.468457
914.0,0.46841299999999997
915.0,0.468132
916.0,0.46793300000000004
917.0,0.468177
918.0,0.468251
919.0,0.468588
920.0,0.468069
921.0,0.467712
922.0,0.46817100000000006
923.0,0.46779400000000004
924.0,0.467858
925.0,0.467967
926.0,0.468082
927.0,0.468609
928.0,0.468756
929.0,0.468979
930.0,0.46925400000000006
931.0,0.469197
932.0,0.46887300000000004
933.0,0.468888
934.0,0.469386
935.0,0.469694
936.0,0.469853
937.0,0.47021799999999997
938.0,0.47061
939.0,0.470616
940.0,0.47044600000000003
941.0,0.470704
942.0,0.471766
943.0,0.47229999999999994
944.0,0.47192100000000003
945.0,0.472364
946.0,0.472767
947.0,0.473084
948.0,0.473592
949.0,0.473998
950.0,0.47456499999999996
951.0,0.474735
952.0,0.474815
953.0,0.47539000000000003
954.0,0.476462
955.0,0.476741
956.0,0.476929
957.0,0.47713
958.0,0.477564
959.0,0.478352
960.0,0.478986
961.0,0.47922800000000004
962.0,0.480028
963.0,0.480591
964.0,0.481004
965.0,0.481415
966.0,0.48170699999999994
967.0,0.483178
968.0,0.483799
969.0,0.48357100000000003
970.0,0.48445099999999996
971.0,0.48564999999999997
972.0,0.486036
973.0,0.486098
974.0,0.48660200000000003
975.0,0.48725900000000005
976.0,0.487703
977.0,0.48861699999999997
978.0,0.48992600000000003
979.0,0.490278
980.0,0.49107799999999996
981.0,0.49156700000000003
982.0,0.49201700000000004
983.0,0.49309600000000003
984.0,0.493879
985.0,0.49483699999999997
986.0,0.49542200000000003
987.0,0.496087
988.0,0.496934
989.0,0.497307
990.0,0.498656
991.0,0.499386
992.0,0.499757
993.0,0.500365
994.0,0.500745
995.0,0.501691
996.0,0.502533
997.0,0.502433
998.0,0.503406
999.0,0.5045470000000001
1000.0,0.506328
1001.0,0.506769
1002.0,0.507726
1003.0,0.507651
1004.0,0.509077
1005.0,0.509602
1006.0,0.510602
1007.0,0.511295
1008.0,0.512433
1009.0,0.513065
1010.0,0.5135609999999999
1011.0,0.5148969999999999
1012.0,0.516331
1013.0,0.5160520000000001
1014.0,0.5164880000000001
1015.0,0.517626
1016.0,0.518649
1017.0,0.519466
1018.0,0.520463
1019.0,0.5209579999999999
1020.0,0.522484
1021.0,0.522969
1022.0,0.52439
1023.0,0.524407
1024.0,0.525586
1025.0,0.526928
1026.0,0.527359
1027.0,0.528463
1028.0,0.5294639999999999
1029.0,0.530647
1030.0,0.531237
1031.0,0.5319619999999999
1032.0,0.533688
1033.0,0.5343760000000001
1034.0,0.535169
1035.0,0.535583
1036.0,0.537689
1037.0,0.5377109999999999
1038.0,0.5390229999999999
1039.0,0.53966
1040.0,0.540471
1041.0,0.541339
1042.0,0.542187
1043.0,0.543261
1044.0,0.543969
1045.0,0.545148
1046.0,0.546385
1047.0,0.5469740000000001
1048.0,0.547536
1049.0,0.548593
1050.0,0.549903
1051.0,0.549007
1052.0,0.5504
1053.0,0.552289
1054.0,0.5518959999999999
1055.0,0.553957
1056.0,0.555193
1057.0,0.555049
1058.0,0.55704
1059.0,0.5570660000000001
1060.0,0.5576019999999999
1061.0,0.560187
1062.0,0.560091
1063.0,0.560746
1064.0,0.5624020000000001
1065.0,0.562461
1066.0,0.564243
1067.0,0.564728
1068.0,0.565701
1069.0,0.566461
1070.0,0.567639
1071.0,0.569515
1072.0,0.570068
1073.0,0.570129
1074.0,0.5711740000000001
1075.0,0.5721229999999999
1076.0,0.573292
1077.0,0.573874
1078.0,0.575275
1079.0,0.576035
1080.0,0.577037
1081.0,0.578292
1082.0,0.578168
1083.0,0.579302
1084.0,0.580677
1085.0,0.5815359999999999
1086.0,0.582407
1087.0,0.582469
1088.0,0.584251
1089.0,0.5846629999999999
1090.0,0.586644
1091.0,0.58704
1092.0,0.5882269999999999
1093.0,0.588507
1094.0,0.590077
1095.0,0.590453
1096.0,0.591662
1097.0,0.593195
1098.0,0.593433
1099.0,0.5944619999999999
1100.0,0.594552
1101.0,0.596162
1102.0,0.597278
1103.0,0.597751
1104.0,0.599053
1105.0,0.600154
1106.0,0.60133
1107.0,0.602145
1108.0,0.6028560000000001
1109.0,0.604169
1110.0,0.6052839999999999
1111.0,0.6053649999999999
1112.0,0.60613
1113.0,0.6075269999999999
1114.0,0.608316
1115.0,0.6087400000000001
1116.0,0.610327
1117.0,0.611196
1118.0,0.612814
1119.0,0.613645
1120.0,0.613498
1121.0,0.614792
1122.0,0.615834
1123.0,0.6164000000000001
1124.0,0.617773
1125.0,0.618031
1126.0,0.6189009999999999
1127.0,0.620421
1128.0,0.621331
1129.0,0.621838
1130.0,0.62324
1131.0,0.623968
1132.0,0.625074
1133.0,0.6249629999999999
1134.0,0.626304
1135.0,0.627298
1136.0,0.627972
1137.0,0.628691
1138.0,0.630096
1139.0,0.631017
1140.0,0.632103
1141.0,0.632719
1142.0,0.633785
1143.0,0.634677
1144.0,0.635572
1145.0,0.636741
1146.0,0.637435
1147.0,0.6389130000000001
1148.0,0.639594
1149.0,0.6401009999999999
1150.0,0.6418980000000001
1151.0,0.6421439999999999
1152.0,0.6432410000000001
1153.0,0.64384
1154.0,0.645035
1155.0,0.6460429999999999
1156.0,0.647077
1157.0,0.647553
1158.0,0.648847
1159.0,0.649725
1160.0,0.650432
1161.0,0.651613
1162.0,0.652996
1163.0,0.6534770000000001
1164.0,0.653874
1165.0,0.655173
1166.0,0.6564180000000001
1167.0,0.657169
1168.0,0.658179
1169.0,0.658844
1170.0,0.659507
1171.0,0.660617
1172.0,0.6615449999999999
1173.0,0.662402
1174.0,0.663322
1175.0,0.6639839999999999
1176.0,0.664675
1177.0,0.665656
1178.0,0.6666599999999999
1179.0,0.6675369999999999
1180.0,0.6692959999999999
1181.0,0.669908
1182.0,0.6701609999999999
1183.0,0.6711119999999999
1184.0,0.672424
1185.0,0.6733159999999999
1186.0,0.674523
1187.0,0.675009
1188.0,0.675526
1189.0,0.677004
1190.0,0.6780849999999999
1191.0,0.678969
1192.0,0.679708
1193.0,0.68054
1194.0,0.682144
1195.0,0.682773
1196.0,0.683635
1197.0,0.6848879999999999
1198.0,0.6849890000000001
1199.0,0.685736
1200.0,0.687105
1201.0,0.687898
1202.0,0.6889319999999999
1203.0,0.690173
1204.0,0.6911660000000001
1205.0,0.6917449999999999
1206.0,0.692369
