Database of Origin,Western Washington University
Sample Description,Calcium sulfates Grain Size Series
Date Added,2017-11-11 07:18:46.127388

Data ID,WWU_Sulf_135        
Sample ID,Ca_GS_MCZ_07
Mineral Name,Gypsum
Locality,Synthetic
Grain Size,63-125um
Viewing Geometry,41 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
495.0,0.953721
527.0,0.955768
554.0,0.956843
600.0,0.958019
640.0,0.956547
676.0,0.955142
751.0,0.952222
805.0,0.952377
867.0,0.950346
908.0,0.948402
937.0,0.946356
975.0,0.931961
1012.0,0.93316
