Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:54:42.897414

Data ID,WWU_Sulf_66         
Sample ID,Mg_Sulf_MCZ_06
Mineral Name,50% Kieserite-50% Epsomite MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic magnesium sulfate

Wavelength
495.0,0.79785
527.0,0.797443
554.0,0.797206
600.0,0.796359
640.0,0.794071
676.0,0.79178
751.0,0.788952
805.0,0.788254
867.0,0.78763
908.0,0.783694
937.0,0.777459
975.0,0.745872
1012.0,0.747047
