Database of Origin,Crowley et al 1991
Sample Description,Borates
Date Added,2017-03-22 23:56:03.476359

Data ID,CROW_1_7_2          
Mineral Name,Tincalconite
Formula,Na2B4O5(OH)4 * 3H2O
Composition,dehydration of borax at 60C

Wavelength
406.0,0.849
407.0,0.848
408.0,0.848
409.0,0.848
410.0,0.848
411.0,0.848
412.0,0.849
413.0,0.849
414.0,0.849
415.0,0.849
416.0,0.849
417.0,0.849
418.0,0.85
419.0,0.85
420.0,0.85
421.0,0.851
422.0,0.851
423.0,0.851
424.0,0.852
425.0,0.852
426.0,0.852
427.0,0.853
428.0,0.853
429.0,0.853
430.0,0.854
431.0,0.854
432.0,0.854
433.0,0.854
434.0,0.854
435.0,0.854
436.0,0.854
437.0,0.855
438.0,0.855
439.0,0.855
440.0,0.855
441.0,0.856
442.0,0.856
443.0,0.856
444.0,0.856
445.0,0.856
446.0,0.856
447.0,0.856
448.0,0.856
449.0,0.856
450.0,0.856
451.0,0.856
452.0,0.856
453.0,0.856
454.0,0.856
455.0,0.856
456.0,0.857
457.0,0.857
458.0,0.857
459.0,0.857
460.0,0.858
461.0,0.858
462.0,0.858
463.0,0.858
464.0,0.858
465.0,0.858
466.0,0.858
467.0,0.858
468.0,0.858
469.0,0.858
470.0,0.858
471.0,0.858
472.0,0.858
473.0,0.858
474.0,0.858
475.0,0.858
476.0,0.858
477.0,0.858
478.0,0.858
479.0,0.858
480.0,0.858
481.0,0.858
482.0,0.858
483.0,0.859
484.0,0.859
485.0,0.859
486.0,0.859
487.0,0.86
488.0,0.86
489.0,0.86
490.0,0.859
491.0,0.859
492.0,0.859
493.0,0.859
494.0,0.859
495.0,0.859
496.0,0.859
497.0,0.859
498.0,0.859
499.0,0.859
500.0,0.86
501.0,0.86
502.0,0.86
503.0,0.86
504.0,0.86
505.0,0.86
506.0,0.86
507.0,0.86
508.0,0.859
509.0,0.859
510.0,0.859
511.0,0.858
512.0,0.858
513.0,0.858
514.0,0.858
515.0,0.857
516.0,0.857
517.0,0.858
518.0,0.858
519.0,0.858
520.0,0.859
521.0,0.859
522.0,0.86
523.0,0.86
524.0,0.86
525.0,0.86
526.0,0.86
527.0,0.86
528.0,0.859
529.0,0.859
530.0,0.858
531.0,0.858
532.0,0.858
533.0,0.857
534.0,0.857
535.0,0.857
536.0,0.857
537.0,0.857
538.0,0.857
539.0,0.857
540.0,0.857
541.0,0.858
542.0,0.859
543.0,0.859
544.0,0.86
545.0,0.86
546.0,0.861
547.0,0.861
548.0,0.861
549.0,0.86
550.0,0.86
551.0,0.859
552.0,0.859
553.0,0.858
554.0,0.858
555.0,0.857
556.0,0.857
557.0,0.857
558.0,0.857
559.0,0.857
560.0,0.857
561.0,0.857
562.0,0.858
563.0,0.858
564.0,0.858
565.0,0.858
566.0,0.858
567.0,0.858
568.0,0.858
569.0,0.857
570.0,0.857
571.0,0.857
572.0,0.857
573.0,0.857
574.0,0.857
575.0,0.857
576.0,0.857
577.0,0.857
578.0,0.858
579.0,0.858
580.0,0.859
581.0,0.859
582.0,0.86
583.0,0.861
584.0,0.861
585.0,0.862
586.0,0.862
587.0,0.863
588.0,0.863
589.0,0.863
590.0,0.863
591.0,0.863
592.0,0.862
593.0,0.862
594.0,0.862
595.0,0.862
596.0,0.862
597.0,0.862
598.0,0.862
599.0,0.862
600.0,0.862
601.0,0.862
602.0,0.862
603.0,0.862
604.0,0.861
605.0,0.861
606.0,0.86
607.0,0.86
608.0,0.859
609.0,0.859
610.0,0.859
611.0,0.859
612.0,0.859
613.0,0.859
614.0,0.859
615.0,0.859
616.0,0.858
617.0,0.858
618.0,0.857
619.0,0.857
620.0,0.856
621.0,0.856
622.0,0.856
623.0,0.856
624.0,0.857
625.0,0.857
626.0,0.857
627.0,0.857
628.0,0.858
629.0,0.858
630.0,0.858
631.0,0.858
632.0,0.858
633.0,0.858
634.0,0.858
635.0,0.858
636.0,0.858
637.0,0.858
638.0,0.858
639.0,0.857
640.0,0.857
641.0,0.857
642.0,0.856
643.0,0.856
644.0,0.856
645.0,0.856
646.0,0.856
647.0,0.856
648.0,0.857
649.0,0.857
650.0,0.857
651.0,0.857
652.0,0.857
653.0,0.857
654.0,0.857
655.0,0.857
656.0,0.857
657.0,0.856
658.0,0.856
659.0,0.856
660.0,0.855
661.0,0.855
662.0,0.855
663.0,0.855
664.0,0.855
665.0,0.855
666.0,0.856
667.0,0.856
668.0,0.856
669.0,0.857
670.0,0.857
671.0,0.857
672.0,0.857
673.0,0.857
674.0,0.857
675.0,0.858
676.0,0.858
677.0,0.858
678.0,0.858
679.0,0.858
680.0,0.858
681.0,0.858
682.0,0.858
683.0,0.858
684.0,0.859
685.0,0.859
686.0,0.859
687.0,0.86
688.0,0.86
689.0,0.86
690.0,0.86
691.0,0.86
692.0,0.86
693.0,0.86
694.0,0.86
695.0,0.86
696.0,0.86
697.0,0.86
698.0,0.86
699.0,0.86
700.0,0.861
701.0,0.861
702.0,0.861
703.0,0.861
704.0,0.861
705.0,0.861
706.0,0.861
707.0,0.861
708.0,0.86
709.0,0.86
710.0,0.859
711.0,0.859
712.0,0.858
713.0,0.858
714.0,0.857
715.0,0.857
716.0,0.857
717.0,0.856
718.0,0.856
719.0,0.856
720.0,0.855
721.0,0.855
722.0,0.854
723.0,0.854
724.0,0.854
725.0,0.853
726.0,0.853
727.0,0.853
728.0,0.853
729.0,0.853
730.0,0.853
731.0,0.853
732.0,0.853
733.0,0.853
734.0,0.853
735.0,0.853
736.0,0.852
737.0,0.852
738.0,0.852
739.0,0.851
740.0,0.851
741.0,0.851
742.0,0.85
743.0,0.85
744.0,0.85
745.0,0.85
746.0,0.85
747.0,0.85
748.0,0.849
749.0,0.849
750.0,0.849
751.0,0.849
752.0,0.848
753.0,0.848
754.0,0.848
755.0,0.848
756.0,0.849
757.0,0.849
758.0,0.849
759.0,0.849
760.0,0.849
761.0,0.849
762.0,0.849
763.0,0.849
764.0,0.849
765.0,0.849
766.0,0.849
767.0,0.849
768.0,0.849
769.0,0.849
770.0,0.849
771.0,0.849
772.0,0.849
773.0,0.849
774.0,0.849
775.0,0.849
776.0,0.849
777.0,0.849
778.0,0.849
779.0,0.849
780.0,0.849
781.0,0.85
782.0,0.85
783.0,0.85
784.0,0.849
785.0,0.849
786.0,0.85
787.0,0.85
788.0,0.85
789.0,0.85
790.0,0.85
791.0,0.851
792.0,0.851
793.0,0.851
794.0,0.851
795.0,0.851
796.0,0.851
797.0,0.851
798.0,0.85
799.0,0.85
800.0,0.85
801.0,0.85
802.0,0.85
803.0,0.85
804.0,0.85
805.0,0.85
809.0,0.85
813.0,0.851
817.0,0.851
821.0,0.852
825.0,0.853
829.0,0.853
833.0,0.852
837.0,0.852
841.0,0.852
845.0,0.852
849.0,0.853
853.0,0.853
857.0,0.854
861.0,0.853
865.0,0.854
869.0,0.853
873.0,0.854
877.0,0.854
881.0,0.853
885.0,0.853
889.0,0.852
893.0,0.85
897.0,0.849
901.0,0.848
905.0,0.847
909.0,0.848
913.0,0.848
917.0,0.846
921.0,0.844
925.0,0.841
929.0,0.84
933.0,0.838
937.0,0.835
941.0,0.831
945.0,0.827
949.0,0.823
953.0,0.818
957.0,0.81
961.0,0.8
965.0,0.789
969.0,0.781
973.0,0.778
977.0,0.779
981.0,0.783
985.0,0.786
989.0,0.79
993.0,0.793
997.0,0.795
1001.0,0.797
1005.0,0.799
1009.0,0.802
1013.0,0.805
1017.0,0.807
1021.0,0.808
1025.0,0.812
1029.0,0.816
1033.0,0.819
1037.0,0.823
1041.0,0.826
1045.0,0.828
1049.0,0.83
1053.0,0.831
1057.0,0.832
1061.0,0.832
1065.0,0.833
1069.0,0.834
1073.0,0.834
1077.0,0.833
1081.0,0.834
1085.0,0.833
1089.0,0.832
1093.0,0.832
1097.0,0.832
1101.0,0.831
1105.0,0.828
1109.0,0.826
1113.0,0.824
1117.0,0.824
1121.0,0.823
1125.0,0.822
1129.0,0.821
1133.0,0.819
1137.0,0.817
1141.0,0.813
1145.0,0.808
1149.0,0.803
1153.0,0.798
1157.0,0.791
1161.0,0.782
1165.0,0.772
1169.0,0.76
1173.0,0.748
1177.0,0.739
1181.0,0.731
1185.0,0.724
1189.0,0.719
1193.0,0.716
1197.0,0.713
1201.0,0.711
1205.0,0.71
1209.0,0.709
1213.0,0.708
1217.0,0.707
1221.0,0.706
1225.0,0.705
1229.0,0.703
1233.0,0.702
1237.0,0.702
1241.0,0.701
1245.0,0.701
1249.0,0.702
1253.0,0.703
1257.0,0.704
1261.0,0.705
1265.0,0.706
1269.0,0.708
1273.0,0.709
1277.0,0.709
1281.0,0.709
1285.0,0.708
1289.0,0.706
1293.0,0.703
1297.0,0.699
1301.0,0.694
1305.0,0.689
1309.0,0.683
1313.0,0.677
1317.0,0.669
1321.0,0.661
1325.0,0.653
1329.0,0.645
1333.0,0.637
1337.0,0.629
1341.0,0.622
1345.0,0.616
1349.0,0.613
1353.0,0.609
1357.0,0.606
1361.0,0.604
1365.0,0.603
1369.0,0.599
1373.0,0.593
1377.0,0.585
1381.0,0.575
1385.0,0.564
1389.0,0.551
1393.0,0.532
1397.0,0.512
1401.0,0.493
1405.0,0.47
1409.0,0.445
1413.0,0.419
1417.0,0.392
1421.0,0.367
1425.0,0.346
1429.0,0.334
1433.0,0.331
1437.0,0.334
1441.0,0.339
1445.0,0.341
1449.0,0.34
1453.0,0.338
1457.0,0.333
1461.0,0.33
1465.0,0.329
1469.0,0.329
1473.0,0.331
1477.0,0.334
1481.0,0.337
1485.0,0.342
1489.0,0.346
1493.0,0.35
1497.0,0.353
1501.0,0.356
1505.0,0.359
1509.0,0.362
1513.0,0.364
1517.0,0.366
1521.0,0.368
1525.0,0.37
1529.0,0.371
1533.0,0.374
1537.0,0.376
1541.0,0.378
1545.0,0.379
1549.0,0.38
1553.0,0.382
1557.0,0.384
1561.0,0.385
1565.0,0.386
1569.0,0.387
1573.0,0.387
1577.0,0.387
1581.0,0.387
1585.0,0.386
1589.0,0.386
1593.0,0.385
1597.0,0.383
1601.0,0.38
1605.0,0.378
1609.0,0.376
1613.0,0.374
1617.0,0.372
1621.0,0.371
1625.0,0.37
1629.0,0.37
1633.0,0.37
1637.0,0.369
1641.0,0.368
1645.0,0.368
1649.0,0.367
1653.0,0.365
1657.0,0.362
1661.0,0.362
1665.0,0.362
1669.0,0.362
1673.0,0.362
1677.0,0.362
1681.0,0.361
1685.0,0.359
1689.0,0.359
1693.0,0.358
1697.0,0.358
1701.0,0.357
1705.0,0.357
1709.0,0.357
1713.0,0.357
1717.0,0.355
1721.0,0.354
1725.0,0.354
1729.0,0.354
1733.0,0.353
1737.0,0.352
1741.0,0.351
1745.0,0.351
1749.0,0.35
1753.0,0.349
1757.0,0.348
1761.0,0.347
1765.0,0.346
1769.0,0.345
1773.0,0.345
1777.0,0.346
1781.0,0.347
1785.0,0.347
1789.0,0.348
1793.0,0.349
1797.0,0.351
1801.0,0.352
1805.0,0.354
1809.0,0.355
1813.0,0.355
1817.0,0.355
1821.0,0.355
1825.0,0.354
1829.0,0.353
1833.0,0.352
1837.0,0.35
1841.0,0.348
1845.0,0.347
1849.0,0.345
1853.0,0.343
1857.0,0.339
1861.0,0.334
1865.0,0.328
1869.0,0.323
1873.0,0.316
1877.0,0.309
1881.0,0.301
1885.0,0.291
1889.0,0.281
1893.0,0.27
1897.0,0.259
1901.0,0.248
1905.0,0.237
1909.0,0.225
1913.0,0.214
1917.0,0.203
1921.0,0.192
1925.0,0.181
1929.0,0.17
1933.0,0.159
1937.0,0.148
1941.0,0.137
1945.0,0.128
1949.0,0.121
1953.0,0.119
1957.0,0.12
1961.0,0.124
1965.0,0.128
1969.0,0.133
1973.0,0.136
1977.0,0.139
1981.0,0.142
1985.0,0.145
1989.0,0.15
1993.0,0.156
1997.0,0.161
2001.0,0.166
2005.0,0.17
2009.0,0.173
2013.0,0.175
2017.0,0.177
2021.0,0.178
2025.0,0.179
2029.0,0.18
2033.0,0.181
2037.0,0.181
2041.0,0.181
2045.0,0.182
2049.0,0.182
2053.0,0.181
2057.0,0.181
2061.0,0.179
2065.0,0.178
2069.0,0.178
2073.0,0.177
2077.0,0.176
2081.0,0.176
2085.0,0.174
2089.0,0.172
2093.0,0.171
2097.0,0.169
2101.0,0.167
2105.0,0.165
2109.0,0.162
2113.0,0.159
2117.0,0.158
2121.0,0.157
2125.0,0.157
2129.0,0.157
2133.0,0.159
2137.0,0.161
2141.0,0.161
2145.0,0.161
2149.0,0.16
2153.0,0.158
2157.0,0.156
2161.0,0.154
2165.0,0.152
2169.0,0.151
2173.0,0.15
2177.0,0.151
2181.0,0.153
2185.0,0.156
2189.0,0.16
2193.0,0.164
2197.0,0.168
2201.0,0.172
2205.0,0.175
2209.0,0.178
2213.0,0.18
2217.0,0.181
2221.0,0.183
2225.0,0.184
2229.0,0.185
2233.0,0.186
2237.0,0.187
2241.0,0.187
2245.0,0.188
2249.0,0.19
2253.0,0.194
2257.0,0.197
2261.0,0.201
2265.0,0.204
2269.0,0.206
2273.0,0.208
2277.0,0.21
2281.0,0.211
2285.0,0.212
2289.0,0.212
2293.0,0.212
2297.0,0.212
2301.0,0.211
2305.0,0.211
2309.0,0.211
2313.0,0.21
2317.0,0.209
2321.0,0.208
