Database of Origin,Western Washington University
Sample Description,"Magnesium sulfates dust contaminated mixtures,"
Date Added,2017-11-11 18:59:40.106970

Data ID,WWU_Sulf_168        
Sample ID,Ca_Dust_06
Mineral Name,Gypsum + 5% Mars JSC-1A
Locality,Synthetic
Grain Size,500-1000um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
351.0,0.586546779
352.0,0.588141859
353.0,0.585672081
354.0,0.580622077
355.0,0.57255733
356.0,0.57355696
357.0,0.575266182
358.0,0.571148694
359.0,0.574607134
360.0,0.574948967
361.0,0.571912467
362.0,0.570983648
363.0,0.573063254
364.0,0.572929025
365.0,0.569785655
366.0,0.570127428
367.0,0.572116017
368.0,0.57179606
369.0,0.567566514
370.0,0.569475889
371.0,0.571049035
372.0,0.570632279
373.0,0.570608735
374.0,0.56967926
375.0,0.56944412
376.0,0.570302784
377.0,0.569194317
378.0,0.569986939
379.0,0.570808589
380.0,0.56900245
381.0,0.569567263
382.0,0.569543183
383.0,0.568537831
384.0,0.569101989
385.0,0.569091797
386.0,0.569126606
387.0,0.569635272
388.0,0.568924248
389.0,0.569459081
390.0,0.570347726
391.0,0.569562137
392.0,0.569644809
393.0,0.57024622
394.0,0.570694029
395.0,0.570276022
396.0,0.570124984
397.0,0.570746124
398.0,0.571743429
399.0,0.570083559
400.0,0.569814503
401.0,0.570940018
402.0,0.570868731
403.0,0.571105838
404.0,0.571314633
405.0,0.571309209
406.0,0.571615219
407.0,0.571867168
408.0,0.572269976
409.0,0.572925568
410.0,0.572452188
411.0,0.572195649
412.0,0.572639704
413.0,0.573290944
414.0,0.573294044
415.0,0.572938502
416.0,0.572745025
417.0,0.573193669
418.0,0.57363224
419.0,0.574003398
420.0,0.574494302
421.0,0.574649155
422.0,0.575126708
423.0,0.575855076
424.0,0.57555002
425.0,0.57567662
426.0,0.576093972
427.0,0.576342225
428.0,0.576562762
429.0,0.576940715
430.0,0.5774104
431.0,0.577709138
432.0,0.5776034
433.0,0.577686369
434.0,0.578258216
435.0,0.578680634
436.0,0.579149902
437.0,0.579612315
438.0,0.579900742
439.0,0.579719484
440.0,0.579780221
441.0,0.580272734
442.0,0.580623209
443.0,0.580841362
444.0,0.581023097
445.0,0.581312358
446.0,0.581939936
447.0,0.582199216
448.0,0.582141042
449.0,0.582371354
450.0,0.582561195
451.0,0.58285147
452.0,0.583311737
453.0,0.583753943
454.0,0.583817124
455.0,0.58378756
456.0,0.58411181
457.0,0.58420831
458.0,0.584423363
459.0,0.584804237
460.0,0.584931552
461.0,0.584966958
462.0,0.585101306
463.0,0.585402131
464.0,0.585436106
465.0,0.585585415
466.0,0.585829973
467.0,0.585874736
468.0,0.586069047
469.0,0.586345911
470.0,0.586596489
471.0,0.586762071
472.0,0.58690691
473.0,0.587066472
474.0,0.587271869
475.0,0.587618649
476.0,0.587781072
477.0,0.587788641
478.0,0.588142216
479.0,0.588391185
480.0,0.588605106
481.0,0.588926911
482.0,0.589285612
483.0,0.589590609
484.0,0.589860618
485.0,0.59018743
486.0,0.590488613
487.0,0.590782702
488.0,0.591077387
489.0,0.591299355
490.0,0.591690898
491.0,0.592205524
492.0,0.592670918
493.0,0.592973888
494.0,0.593374848
495.0,0.593876123
496.0,0.59411931
497.0,0.59449023
498.0,0.594904423
499.0,0.595251799
500.0,0.595811903
501.0,0.59626317
502.0,0.596598089
503.0,0.597049475
504.0,0.597650707
505.0,0.59816128
506.0,0.598486781
507.0,0.598946571
508.0,0.599404216
509.0,0.599937081
510.0,0.60062027
511.0,0.600917757
512.0,0.60135746
513.0,0.60206461
514.0,0.602532148
515.0,0.603013515
516.0,0.603501737
517.0,0.603967249
518.0,0.60454303
519.0,0.60511148
520.0,0.60565865
521.0,0.60624826
522.0,0.60676825
523.0,0.607298315
524.0,0.607884824
525.0,0.608421087
526.0,0.608988762
527.0,0.609536886
528.0,0.610005975
529.0,0.610722899
530.0,0.61134696
531.0,0.611783385
532.0,0.612355053
533.0,0.612986624
534.0,0.61356914
535.0,0.614035189
536.0,0.614534795
537.0,0.615068734
538.0,0.615635812
539.0,0.616236448
540.0,0.616881788
541.0,0.617517829
542.0,0.618105233
543.0,0.618662655
544.0,0.619194686
545.0,0.619747698
546.0,0.620373011
547.0,0.621007264
548.0,0.621589184
549.0,0.622134447
550.0,0.622772336
551.0,0.623347402
552.0,0.623875558
553.0,0.62442255
554.0,0.625040829
555.0,0.625596941
556.0,0.626107752
557.0,0.626720965
558.0,0.62729764
559.0,0.627814353
560.0,0.628306866
561.0,0.628907084
562.0,0.629500329
563.0,0.63007611
564.0,0.630669236
565.0,0.631221473
566.0,0.631740093
567.0,0.632281899
568.0,0.632980108
569.0,0.633606136
570.0,0.634146929
571.0,0.634656131
572.0,0.635133803
573.0,0.635621071
574.0,0.636126399
575.0,0.636626303
576.0,0.637109458
577.0,0.63761127
578.0,0.638155103
579.0,0.638714671
580.0,0.639193296
581.0,0.639626205
582.0,0.640121639
583.0,0.640701413
