Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:02.949443

Data ID,Actinolite_WSW      
Sample ID,M04890
Mineral Name,Actinolite
Locality,Moravia_Zoptau_Czech Republic

Wavelength
691.0,0.108477928
692.0,0.108591907
693.0,0.108710885
694.0,0.108832456
695.0,0.108898252
696.0,0.109022029
697.0,0.109243423
698.0,0.109319791
699.0,0.109444059
700.0,0.109600291
701.0,0.109691069
702.0,0.109814718
703.0,0.109953843
704.0,0.110097624
705.0,0.110153064
706.0,0.110224858
707.0,0.110343844
708.0,0.110421799
709.0,0.110487431
710.0,0.11054492
711.0,0.110611357
712.0,0.110688433
713.0,0.110759683
714.0,0.110801414
715.0,0.110863209
716.0,0.110903293
717.0,0.110905014
718.0,0.110913873
719.0,0.110963322
720.0,0.111033924
721.0,0.111019693
722.0,0.110998623
723.0,0.110979132
724.0,0.11097268
725.0,0.110929444
726.0,0.110902026
727.0,0.110909365
728.0,0.110837929
729.0,0.110799491
730.0,0.110783793
731.0,0.110709392
732.0,0.110634662
733.0,0.110577993
734.0,0.110575728
735.0,0.110520497
736.0,0.110467471
737.0,0.11043594
738.0,0.110407405
739.0,0.110346027
740.0,0.110256456
741.0,0.110165022
742.0,0.110075608
743.0,0.109980047
744.0,0.109863281
745.0,0.109745726
746.0,0.109625742
747.0,0.109502256
748.0,0.109370224
749.0,0.109234132
750.0,0.109094448
751.0,0.108951107
752.0,0.10884624
753.0,0.108754911
754.0,0.108646259
755.0,0.108468056
756.0,0.108349569
757.0,0.108348288
758.0,0.108238086
759.0,0.108153999
760.0,0.108104602
761.0,0.10812261
762.0,0.108160034
763.0,0.108187258
764.0,0.10815189
765.0,0.108190626
766.0,0.108271547
767.0,0.10839314
768.0,0.108418666
769.0,0.108492628
770.0,0.108616821
771.0,0.108747676
772.0,0.108850688
773.0,0.108960614
774.0,0.109137982
775.0,0.109317452
776.0,0.109508045
777.0,0.109715909
778.0,0.109884351
779.0,0.110051647
780.0,0.110225961
781.0,0.110461287
782.0,0.110693529
783.0,0.110919818
784.0,0.111131378
785.0,0.111342043
786.0,0.111551769
787.0,0.111760087
788.0,0.111994818
789.0,0.112202726
790.0,0.112383977
791.0,0.11257343
792.0,0.112778738
793.0,0.11297603
794.0,0.113118649
795.0,0.113277659
796.0,0.113441378
797.0,0.113606051
798.0,0.113758713
799.0,0.113968089
800.0,0.114212878
801.0,0.114222795
802.0,0.114305735
803.0,0.114433408
804.0,0.114579096
805.0,0.114641324
806.0,0.114724174
807.0,0.114883795
808.0,0.114903748
809.0,0.114950933
810.0,0.115038648
811.0,0.115171462
812.0,0.115249202
813.0,0.115294494
814.0,0.115330435
815.0,0.11536441
816.0,0.11541371
817.0,0.115491346
818.0,0.115522459
819.0,0.115501903
820.0,0.115439892
821.0,0.115474485
822.0,0.115489013
823.0,0.115488343
824.0,0.115473077
825.0,0.11536815
826.0,0.115273707
827.0,0.115243971
828.0,0.115198635
829.0,0.115151547
830.0,0.115095519
831.0,0.114927538
832.0,0.114818379
833.0,0.114758767
834.0,0.114760503
835.0,0.114699773
836.0,0.114626825
837.0,0.114564508
838.0,0.114382342
839.0,0.114215687
840.0,0.114077486
841.0,0.113956235
842.0,0.113802835
843.0,0.113649115
844.0,0.113572605
845.0,0.113422647
846.0,0.113243304
847.0,0.11304874
848.0,0.112827569
849.0,0.11262279
850.0,0.112437859
851.0,0.112252519
852.0,0.112072706
853.0,0.111893274
854.0,0.111703634
855.0,0.111405015
856.0,0.111145169
857.0,0.111027777
858.0,0.110860467
859.0,0.110691361
860.0,0.110519074
861.0,0.110218354
862.0,0.109943643
863.0,0.109677002
864.0,0.109381944
865.0,0.109128967
866.0,0.108886629
867.0,0.108641215
868.0,0.108384989
869.0,0.108143099
870.0,0.107910112
871.0,0.107520737
872.0,0.107223392
873.0,0.106971852
874.0,0.106672965
875.0,0.106383733
876.0,0.106105022
877.0,0.105843335
878.0,0.105572008
879.0,0.105264179
880.0,0.104919247
881.0,0.104636841
882.0,0.104346678
883.0,0.104068808
884.0,0.103868768
885.0,0.103594646
886.0,0.103274614
887.0,0.102910504
888.0,0.102593333
889.0,0.102335013
890.0,0.102135524
891.0,0.101865686
892.0,0.101616293
893.0,0.101383887
894.0,0.101170585
895.0,0.100853123
896.0,0.100529745
897.0,0.10027203
898.0,0.100152314
899.0,1.00E-01
900.0,9.98E-02
901.0,9.96E-02
902.0,9.94E-02
903.0,9.92E-02
904.0,9.91E-02
905.0,9.89E-02
906.0,9.88E-02
907.0,9.87E-02
908.0,9.86E-02
909.0,9.85E-02
910.0,9.84E-02
911.0,9.83E-02
912.0,9.82E-02
913.0,9.82E-02
914.0,9.82E-02
915.0,9.81E-02
916.0,9.81E-02
917.0,9.80E-02
918.0,9.79E-02
919.0,9.78E-02
920.0,9.78E-02
921.0,9.78E-02
922.0,9.77E-02
923.0,9.76E-02
924.0,9.75E-02
925.0,9.76E-02
926.0,0.097628191
