Database of Origin,Western Washington University
Sample Description,Namibia Sands
Date Added,2018-02-05 20:26:03.128108

Data ID,WWU_NMB_00          
Sample ID,NMB_00
Mineral Name,Red Endmember
Locality,"Lat: -23.73312204, Long: 15.77434598"
Viewing Geometry,0/23
Composition,Quartz sand w/ ferric coatings

Wavelength
351.0,8.42E-02
352.0,8.47E-02
353.0,8.19E-02
354.0,0.077047199
355.0,0.077273816
356.0,7.84E-02
357.0,7.67E-02
358.0,7.20E-02
359.0,7.46E-02
360.0,7.43E-02
361.0,7.05E-02
362.0,6.80E-02
363.0,0.069936067
364.0,7.12E-02
365.0,6.97E-02
366.0,6.91E-02
367.0,7.02E-02
368.0,7.07E-02
369.0,6.89E-02
370.0,6.83E-02
371.0,6.75E-02
372.0,6.66E-02
373.0,6.65E-02
374.0,6.68E-02
375.0,6.75E-02
376.0,6.80E-02
377.0,6.58E-02
378.0,6.64E-02
379.0,6.83E-02
380.0,6.82E-02
381.0,6.84E-02
382.0,6.76E-02
383.0,6.62E-02
384.0,6.72E-02
385.0,6.68E-02
386.0,6.60E-02
387.0,6.59E-02
388.0,6.63E-02
389.0,6.70E-02
390.0,6.69E-02
391.0,6.56E-02
392.0,6.57E-02
393.0,6.66E-02
394.0,6.72E-02
395.0,6.57E-02
396.0,6.64E-02
397.0,6.74E-02
398.0,6.67E-02
399.0,6.64E-02
400.0,6.68E-02
401.0,6.72E-02
402.0,6.67E-02
403.0,6.65E-02
404.0,6.69E-02
405.0,6.75E-02
406.0,6.70E-02
407.0,0.066672184
408.0,6.70E-02
409.0,6.78E-02
410.0,6.72E-02
411.0,6.68E-02
412.0,0.067241795
413.0,6.77E-02
414.0,6.78E-02
415.0,6.76E-02
416.0,6.76E-02
417.0,0.06795834
418.0,6.81E-02
419.0,6.80E-02
420.0,6.81E-02
421.0,6.83E-02
422.0,6.86E-02
423.0,6.89E-02
424.0,6.90E-02
425.0,6.90E-02
426.0,6.91E-02
427.0,6.93E-02
428.0,6.91E-02
429.0,6.93E-02
430.0,6.97E-02
431.0,7.00E-02
432.0,7.00E-02
433.0,7.01E-02
434.0,7.06E-02
435.0,0.070972167
436.0,7.12E-02
437.0,7.15E-02
438.0,7.20E-02
439.0,7.21E-02
440.0,0.072233222
441.0,7.25E-02
442.0,7.30E-02
443.0,7.34E-02
444.0,7.37E-02
445.0,7.39E-02
446.0,7.40E-02
447.0,7.44E-02
448.0,7.48E-02
449.0,7.49E-02
450.0,7.52E-02
451.0,7.56E-02
452.0,7.62E-02
453.0,7.64E-02
454.0,7.66E-02
455.0,7.69E-02
456.0,0.077134408
457.0,7.73E-02
458.0,0.077574834
459.0,7.79E-02
460.0,7.83E-02
461.0,7.86E-02
462.0,7.88E-02
463.0,7.91E-02
464.0,7.93E-02
465.0,7.95E-02
466.0,7.98E-02
467.0,8.00E-02
468.0,8.03E-02
469.0,8.07E-02
470.0,8.10E-02
471.0,8.11E-02
472.0,0.081371859
473.0,8.16E-02
474.0,8.18E-02
475.0,8.21E-02
476.0,8.24E-02
477.0,0.082581028
478.0,8.28E-02
479.0,8.30E-02
480.0,8.32E-02
481.0,8.36E-02
482.0,8.39E-02
