Database of Origin,Crowley et al 1991
Sample Description,Chlorides
Date Added,2017-03-22 23:56:03.762771

Data ID,CROW_4_5            
Mineral Name,Halite
Locality,"Bristol Dry Lake, California"
Formula,NaCl

Wavelength
406.0,0.476
407.0,0.476
408.0,0.477
409.0,0.48
410.0,0.484
411.0,0.482
412.0,0.485
413.0,0.485
414.0,0.487
415.0,0.487
416.0,0.488
417.0,0.492
418.0,0.492
419.0,0.49
420.0,0.493
421.0,0.493
422.0,0.496
423.0,0.492
424.0,0.497
425.0,0.501
426.0,0.501
427.0,0.502
428.0,0.503
429.0,0.503
430.0,0.503
431.0,0.505
432.0,0.508
433.0,0.508
434.0,0.509
435.0,0.51
436.0,0.51
437.0,0.515
438.0,0.515
439.0,0.514
440.0,0.515
441.0,0.514
442.0,0.519
443.0,0.519
444.0,0.519
445.0,0.523
446.0,0.52
447.0,0.521
448.0,0.524
449.0,0.524
450.0,0.525
451.0,0.525
452.0,0.527
453.0,0.529
454.0,0.529
455.0,0.526
456.0,0.527
457.0,0.527
458.0,0.53
459.0,0.529
460.0,0.531
461.0,0.531
462.0,0.535
463.0,0.537
464.0,0.531
465.0,0.532
466.0,0.536
467.0,0.535
468.0,0.534
469.0,0.535
470.0,0.535
471.0,0.536
472.0,0.537
473.0,0.538
474.0,0.543
475.0,0.538
476.0,0.542
477.0,0.541
478.0,0.541
479.0,0.541
480.0,0.542
481.0,0.543
482.0,0.547
483.0,0.543
484.0,0.543
485.0,0.543
486.0,0.541
487.0,0.543
488.0,0.545
489.0,0.547
490.0,0.546
491.0,0.548
492.0,0.549
493.0,0.547
494.0,0.552
495.0,0.548
496.0,0.549
497.0,0.551
498.0,0.551
499.0,0.551
500.0,0.553
501.0,0.554
502.0,0.556
503.0,0.549
504.0,0.552
505.0,0.552
506.0,0.553
507.0,0.553
508.0,0.552
509.0,0.554
510.0,0.556
511.0,0.556
512.0,0.554
513.0,0.562
514.0,0.562
515.0,0.553
516.0,0.557
517.0,0.557
518.0,0.557
519.0,0.559
520.0,0.557
521.0,0.558
522.0,0.559
523.0,0.559
524.0,0.559
525.0,0.558
526.0,0.558
527.0,0.563
528.0,0.562
529.0,0.56
530.0,0.56
531.0,0.56
532.0,0.562
533.0,0.56
534.0,0.56
535.0,0.563
536.0,0.562
537.0,0.563
538.0,0.56
539.0,0.564
540.0,0.564
541.0,0.569
542.0,0.565
543.0,0.562
544.0,0.563
545.0,0.562
546.0,0.564
547.0,0.562
548.0,0.564
549.0,0.565
550.0,0.564
551.0,0.564
552.0,0.565
553.0,0.564
554.0,0.564
555.0,0.564
556.0,0.563
557.0,0.564
558.0,0.565
559.0,0.564
560.0,0.563
561.0,0.563
562.0,0.562
563.0,0.564
564.0,0.569
565.0,0.568
566.0,0.569
567.0,0.57
568.0,0.571
569.0,0.571
570.0,0.57
571.0,0.569
572.0,0.57
573.0,0.57
574.0,0.57
575.0,0.571
576.0,0.57
577.0,0.571
578.0,0.571
579.0,0.575
580.0,0.576
581.0,0.578
582.0,0.574
583.0,0.571
584.0,0.574
585.0,0.573
586.0,0.574
587.0,0.574
588.0,0.571
589.0,0.575
590.0,0.569
591.0,0.571
592.0,0.569
593.0,0.57
594.0,0.574
595.0,0.571
596.0,0.574
597.0,0.573
598.0,0.573
599.0,0.575
600.0,0.575
601.0,0.575
602.0,0.576
603.0,0.571
604.0,0.571
605.0,0.571
606.0,0.571
607.0,0.569
608.0,0.569
609.0,0.568
610.0,0.568
611.0,0.568
612.0,0.573
613.0,0.569
614.0,0.57
615.0,0.573
616.0,0.573
617.0,0.578
618.0,0.575
619.0,0.575
620.0,0.574
621.0,0.573
622.0,0.575
623.0,0.574
624.0,0.574
625.0,0.578
626.0,0.576
627.0,0.575
628.0,0.574
629.0,0.578
630.0,0.578
631.0,0.578
632.0,0.579
633.0,0.576
634.0,0.575
635.0,0.573
636.0,0.573
637.0,0.57
638.0,0.573
639.0,0.573
640.0,0.571
641.0,0.576
642.0,0.576
643.0,0.576
644.0,0.578
645.0,0.578
646.0,0.578
647.0,0.576
648.0,0.576
649.0,0.576
650.0,0.576
651.0,0.574
652.0,0.574
653.0,0.579
654.0,0.576
655.0,0.576
656.0,0.578
657.0,0.576
658.0,0.575
659.0,0.574
660.0,0.571
661.0,0.571
662.0,0.573
663.0,0.571
664.0,0.575
665.0,0.578
666.0,0.578
667.0,0.58
668.0,0.576
669.0,0.578
670.0,0.575
671.0,0.574
672.0,0.575
673.0,0.574
674.0,0.576
675.0,0.576
676.0,0.576
677.0,0.578
678.0,0.573
679.0,0.571
680.0,0.571
681.0,0.57
682.0,0.571
683.0,0.571
684.0,0.575
685.0,0.575
686.0,0.578
687.0,0.576
688.0,0.576
689.0,0.575
690.0,0.575
691.0,0.576
692.0,0.576
693.0,0.576
694.0,0.578
695.0,0.578
696.0,0.58
697.0,0.575
698.0,0.571
699.0,0.571
700.0,0.57
701.0,0.57
702.0,0.569
703.0,0.584
704.0,0.573
705.0,0.575
706.0,0.575
707.0,0.575
708.0,0.573
709.0,0.571
710.0,0.57
711.0,0.57
712.0,0.57
713.0,0.57
714.0,0.574
715.0,0.575
716.0,0.579
717.0,0.576
718.0,0.574
719.0,0.573
720.0,0.57
721.0,0.574
722.0,0.573
723.0,0.576
724.0,0.575
725.0,0.573
726.0,0.57
727.0,0.574
728.0,0.573
729.0,0.575
730.0,0.575
731.0,0.576
732.0,0.576
733.0,0.574
734.0,0.575
735.0,0.574
736.0,0.576
737.0,0.576
738.0,0.578
739.0,0.574
740.0,0.574
741.0,0.574
742.0,0.573
743.0,0.573
744.0,0.574
745.0,0.579
746.0,0.575
747.0,0.574
748.0,0.574
749.0,0.574
750.0,0.576
751.0,0.575
752.0,0.574
753.0,0.573
754.0,0.571
755.0,0.573
756.0,0.573
757.0,0.575
758.0,0.575
759.0,0.575
760.0,0.574
761.0,0.575
762.0,0.575
763.0,0.579
764.0,0.58
765.0,0.576
766.0,0.574
767.0,0.574
768.0,0.575
769.0,0.578
770.0,0.58
771.0,0.578
772.0,0.579
773.0,0.579
774.0,0.578
775.0,0.579
776.0,0.579
777.0,0.575
778.0,0.574
779.0,0.575
780.0,0.575
781.0,0.576
782.0,0.579
783.0,0.578
784.0,0.576
785.0,0.578
786.0,0.578
787.0,0.579
788.0,0.579
789.0,0.574
790.0,0.576
791.0,0.575
792.0,0.576
793.0,0.578
794.0,0.578
795.0,0.578
796.0,0.578
797.0,0.578
798.0,0.576
799.0,0.578
800.0,0.576
801.0,0.574
802.0,0.573
803.0,0.573
804.0,0.573
805.0,0.573
809.0,0.574
813.0,0.574
817.0,0.576
821.0,0.579
825.0,0.579
829.0,0.571
833.0,0.573
837.0,0.575
841.0,0.575
845.0,0.578
849.0,0.574
853.0,0.575
857.0,0.571
861.0,0.578
865.0,0.575
869.0,0.571
873.0,0.574
877.0,0.573
881.0,0.575
885.0,0.575
889.0,0.57
893.0,0.571
897.0,0.571
901.0,0.573
905.0,0.573
909.0,0.57
913.0,0.574
917.0,0.569
921.0,0.573
925.0,0.571
929.0,0.574
933.0,0.573
937.0,0.571
941.0,0.57
945.0,0.569
949.0,0.571
953.0,0.568
957.0,0.565
961.0,0.562
965.0,0.565
969.0,0.568
973.0,0.562
977.0,0.562
981.0,0.564
985.0,0.567
989.0,0.562
993.0,0.562
997.0,0.57
1001.0,0.57
1005.0,0.564
1009.0,0.567
1013.0,0.569
1017.0,0.571
1021.0,0.567
1025.0,0.57
1029.0,0.571
1033.0,0.571
1037.0,0.575
1041.0,0.573
1045.0,0.574
1049.0,0.575
1053.0,0.578
1057.0,0.578
1061.0,0.579
1065.0,0.576
1069.0,0.576
1073.0,0.574
1077.0,0.571
1081.0,0.573
1085.0,0.573
1089.0,0.571
1093.0,0.571
1097.0,0.574
1101.0,0.576
1105.0,0.569
1109.0,0.565
1113.0,0.568
1117.0,0.569
1121.0,0.567
1125.0,0.569
1129.0,0.567
1133.0,0.568
1137.0,0.563
1141.0,0.559
1145.0,0.556
1149.0,0.546
1153.0,0.547
1157.0,0.542
1161.0,0.54
1165.0,0.537
1169.0,0.537
1173.0,0.536
1177.0,0.538
1181.0,0.536
1185.0,0.538
1189.0,0.537
1193.0,0.537
1197.0,0.537
1201.0,0.536
