Database of Origin,Crowley et al 1991
Sample Description,Carbonates
Date Added,2017-03-22 23:56:03.619265

Data ID,CROW_2_7_1          
Mineral Name,Trona
Locality,"Green River Formation, Wyoming"
Formula,Na3(CO3)(HCO3) * 2H20

Wavelength
406.0,0.611
407.0,0.612
408.0,0.614
409.0,0.615
410.0,0.617
411.0,0.618
412.0,0.619
413.0,0.621
414.0,0.622
415.0,0.623
416.0,0.625
417.0,0.626
418.0,0.627
419.0,0.628
420.0,0.629
421.0,0.631
422.0,0.632
423.0,0.633
424.0,0.634
425.0,0.635
426.0,0.637
427.0,0.638
428.0,0.639
429.0,0.64
430.0,0.641
431.0,0.643
432.0,0.644
433.0,0.646
434.0,0.647
435.0,0.648
436.0,0.649
437.0,0.65
438.0,0.651
439.0,0.652
440.0,0.653
441.0,0.654
442.0,0.655
443.0,0.657
444.0,0.658
445.0,0.659
446.0,0.661
447.0,0.662
448.0,0.663
449.0,0.664
450.0,0.665
451.0,0.666
452.0,0.667
453.0,0.668
454.0,0.668
455.0,0.669
456.0,0.67
457.0,0.67
458.0,0.671
459.0,0.672
460.0,0.673
461.0,0.674
462.0,0.675
463.0,0.676
464.0,0.677
465.0,0.678
466.0,0.679
467.0,0.681
468.0,0.682
469.0,0.683
470.0,0.684
471.0,0.685
472.0,0.685
473.0,0.686
474.0,0.687
475.0,0.687
476.0,0.688
477.0,0.689
478.0,0.69
479.0,0.691
480.0,0.692
481.0,0.693
482.0,0.694
483.0,0.695
484.0,0.695
485.0,0.696
486.0,0.697
487.0,0.698
488.0,0.699
489.0,0.7
490.0,0.701
491.0,0.702
492.0,0.702
493.0,0.703
494.0,0.703
495.0,0.704
496.0,0.704
497.0,0.705
498.0,0.705
499.0,0.706
500.0,0.707
501.0,0.708
502.0,0.709
503.0,0.71
504.0,0.711
505.0,0.712
506.0,0.712
507.0,0.713
508.0,0.713
509.0,0.714
510.0,0.714
511.0,0.715
512.0,0.716
513.0,0.717
514.0,0.718
515.0,0.719
516.0,0.72
517.0,0.721
518.0,0.722
519.0,0.723
520.0,0.724
521.0,0.725
522.0,0.726
523.0,0.727
524.0,0.727
525.0,0.728
526.0,0.728
527.0,0.729
528.0,0.729
529.0,0.73
530.0,0.73
531.0,0.731
532.0,0.732
533.0,0.732
534.0,0.733
535.0,0.734
536.0,0.734
537.0,0.735
538.0,0.735
539.0,0.736
540.0,0.737
541.0,0.737
542.0,0.737
543.0,0.738
544.0,0.738
545.0,0.739
546.0,0.739
547.0,0.739
548.0,0.74
549.0,0.741
550.0,0.741
551.0,0.742
552.0,0.742
553.0,0.743
554.0,0.743
555.0,0.743
556.0,0.744
557.0,0.744
558.0,0.744
559.0,0.745
560.0,0.745
561.0,0.746
562.0,0.746
563.0,0.747
564.0,0.747
565.0,0.748
566.0,0.748
567.0,0.748
568.0,0.749
569.0,0.749
570.0,0.749
571.0,0.75
572.0,0.75
573.0,0.751
574.0,0.751
575.0,0.752
576.0,0.752
577.0,0.753
578.0,0.754
579.0,0.754
580.0,0.755
581.0,0.756
582.0,0.756
583.0,0.757
584.0,0.757
585.0,0.758
586.0,0.758
587.0,0.759
588.0,0.76
589.0,0.76
590.0,0.761
591.0,0.761
592.0,0.762
593.0,0.762
594.0,0.762
595.0,0.763
596.0,0.763
597.0,0.763
598.0,0.763
599.0,0.763
600.0,0.763
601.0,0.764
602.0,0.764
603.0,0.764
604.0,0.765
605.0,0.765
606.0,0.766
607.0,0.766
608.0,0.766
609.0,0.767
610.0,0.767
611.0,0.767
612.0,0.767
613.0,0.767
614.0,0.767
615.0,0.767
616.0,0.768
617.0,0.768
618.0,0.768
619.0,0.769
620.0,0.769
621.0,0.769
622.0,0.769
623.0,0.769
624.0,0.769
625.0,0.77
626.0,0.77
627.0,0.77
628.0,0.771
629.0,0.771
630.0,0.772
631.0,0.772
632.0,0.772
633.0,0.772
634.0,0.773
635.0,0.772
636.0,0.772
637.0,0.772
638.0,0.772
639.0,0.772
640.0,0.772
641.0,0.772
642.0,0.772
643.0,0.773
644.0,0.773
645.0,0.773
646.0,0.774
647.0,0.774
648.0,0.775
649.0,0.775
650.0,0.776
651.0,0.776
652.0,0.777
653.0,0.777
654.0,0.777
655.0,0.777
656.0,0.777
657.0,0.777
658.0,0.777
659.0,0.777
660.0,0.778
661.0,0.778
662.0,0.778
663.0,0.779
664.0,0.779
665.0,0.779
666.0,0.78
667.0,0.78
668.0,0.78
669.0,0.781
670.0,0.781
671.0,0.781
672.0,0.781
673.0,0.782
674.0,0.782
675.0,0.782
676.0,0.782
677.0,0.781
678.0,0.781
679.0,0.782
680.0,0.782
681.0,0.782
682.0,0.782
683.0,0.782
684.0,0.782
685.0,0.783
686.0,0.783
687.0,0.783
688.0,0.784
689.0,0.784
690.0,0.785
691.0,0.785
692.0,0.785
693.0,0.785
694.0,0.785
695.0,0.785
696.0,0.785
697.0,0.785
698.0,0.785
699.0,0.785
700.0,0.785
701.0,0.786
702.0,0.786
703.0,0.786
704.0,0.786
705.0,0.787
706.0,0.787
707.0,0.787
708.0,0.787
709.0,0.787
710.0,0.787
711.0,0.787
712.0,0.787
713.0,0.787
714.0,0.787
715.0,0.787
716.0,0.787
717.0,0.788
718.0,0.788
719.0,0.788
720.0,0.788
721.0,0.788
722.0,0.789
723.0,0.789
724.0,0.789
725.0,0.789
726.0,0.789
727.0,0.789
728.0,0.789
729.0,0.789
730.0,0.789
731.0,0.789
732.0,0.79
733.0,0.79
734.0,0.79
735.0,0.79
736.0,0.79
737.0,0.79
738.0,0.79
739.0,0.79
740.0,0.79
741.0,0.79
742.0,0.79
743.0,0.791
744.0,0.791
745.0,0.791
746.0,0.791
747.0,0.792
748.0,0.792
749.0,0.792
750.0,0.792
751.0,0.792
752.0,0.792
753.0,0.792
754.0,0.792
755.0,0.792
756.0,0.792
757.0,0.792
758.0,0.792
759.0,0.792
760.0,0.792
761.0,0.792
762.0,0.792
763.0,0.792
764.0,0.792
765.0,0.792
766.0,0.792
767.0,0.792
768.0,0.792
769.0,0.792
770.0,0.793
771.0,0.793
772.0,0.793
773.0,0.793
774.0,0.793
775.0,0.793
776.0,0.793
777.0,0.793
778.0,0.793
779.0,0.793
780.0,0.793
781.0,0.793
782.0,0.793
783.0,0.793
784.0,0.792
785.0,0.792
786.0,0.792
787.0,0.792
788.0,0.792
789.0,0.792
790.0,0.792
791.0,0.792
792.0,0.793
793.0,0.793
794.0,0.793
795.0,0.793
796.0,0.793
797.0,0.793
798.0,0.793
799.0,0.793
800.0,0.793
801.0,0.793
802.0,0.794
803.0,0.794
804.0,0.794
805.0,0.795
809.0,0.795
813.0,0.795
817.0,0.794
821.0,0.793
825.0,0.794
829.0,0.794
833.0,0.794
837.0,0.794
841.0,0.794
845.0,0.793
849.0,0.794
853.0,0.795
857.0,0.796
861.0,0.796
865.0,0.796
869.0,0.796
873.0,0.796
877.0,0.795
881.0,0.796
885.0,0.796
889.0,0.798
893.0,0.8
897.0,0.801
901.0,0.802
905.0,0.802
909.0,0.802
913.0,0.801
917.0,0.801
921.0,0.802
925.0,0.802
929.0,0.802
933.0,0.802
937.0,0.803
941.0,0.804
945.0,0.804
949.0,0.804
953.0,0.805
957.0,0.805
961.0,0.805
965.0,0.804
969.0,0.803
973.0,0.804
977.0,0.806
981.0,0.807
985.0,0.808
989.0,0.808
993.0,0.809
997.0,0.807
1001.0,0.806
1005.0,0.806
1009.0,0.808
1013.0,0.809
1017.0,0.809
1021.0,0.808
1025.0,0.809
1029.0,0.81
1033.0,0.811
1037.0,0.812
1041.0,0.812
1045.0,0.812
1049.0,0.812
1053.0,0.812
1057.0,0.811
1061.0,0.811
1065.0,0.811
1069.0,0.81
1073.0,0.81
1077.0,0.81
1081.0,0.81
1085.0,0.811
1089.0,0.812
1093.0,0.813
1097.0,0.813
1101.0,0.813
1105.0,0.814
1109.0,0.815
1113.0,0.815
1117.0,0.814
1121.0,0.813
1125.0,0.814
1129.0,0.814
1133.0,0.814
1137.0,0.813
1141.0,0.811
1145.0,0.81
1149.0,0.81
1153.0,0.811
1157.0,0.81
1161.0,0.811
1165.0,0.812
1169.0,0.812
1173.0,0.811
1177.0,0.811
1181.0,0.81
1185.0,0.81
1189.0,0.809
1193.0,0.81
1197.0,0.81
1201.0,0.809
1205.0,0.809
1209.0,0.809
