Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:02.738772

Data ID,Albite_M2393_000_sco
Sample ID,M2393
Mineral Name,Albite
Locality,South Dakota_USA

Wavelength
351.0,0.521769558
352.0,0.524620933
353.0,0.526798833
354.0,0.527772012
355.0,0.528055047
356.0,0.528357304
357.0,0.528626256
358.0,0.530828302
359.0,0.533241005
360.0,0.532593104
361.0,0.533714625
362.0,0.534384958
363.0,0.534604567
364.0,0.538339261
365.0,0.541575003
366.0,0.543180454
367.0,0.543383593
368.0,0.543662356
369.0,0.544443433
370.0,0.545906063
371.0,0.547842049
372.0,0.548606432
373.0,0.548696848
374.0,0.548850489
375.0,0.549776828
376.0,0.551128682
377.0,0.552721919
378.0,0.554294317
379.0,0.555346043
380.0,0.55561542
381.0,0.556332287
382.0,0.558641196
383.0,0.559254507
384.0,0.559963044
385.0,0.561691729
386.0,0.564043216
387.0,0.565255795
388.0,0.565880757
389.0,0.566780958
390.0,0.568499408
391.0,0.569602076
392.0,0.570705959
393.0,0.572709713
394.0,0.573308267
395.0,0.573783108
396.0,0.574928106
397.0,0.576773278
398.0,0.578011763
399.0,0.578704811
400.0,0.579296154
401.0,0.580423239
402.0,0.581865275
403.0,0.582836503
404.0,0.582863409
405.0,0.584086999
406.0,0.585889193
407.0,0.587436945
408.0,0.587965316
409.0,0.588465648
410.0,0.58903722
411.0,0.589793204
412.0,0.591270401
413.0,0.592929768
414.0,0.593938422
415.0,0.59395426
416.0,0.595429278
417.0,0.597053992
418.0,0.59820562
419.0,0.599079518
420.0,0.599814246
421.0,0.600501262
422.0,0.601234878
423.0,0.602086287
424.0,0.603673842
425.0,0.605266148
426.0,0.605964717
427.0,0.606798684
428.0,0.608067622
429.0,0.609474328
430.0,0.610256253
431.0,0.610948124
432.0,0.61184572
433.0,0.613050765
434.0,0.614420055
435.0,0.615413303
436.0,0.616144222
437.0,0.616989858
438.0,0.618009188
439.0,0.61896361
440.0,0.61991232
441.0,0.621240836
442.0,0.621968496
443.0,0.622646177
444.0,0.623771886
445.0,0.62478197
