Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:03.010853

Data ID,Albite_2_MIT_M1280  
Sample ID,M1280
Mineral Name,Albite
Locality,USA

Wavelength
691.0,0.61339545
692.0,0.613685861
693.0,0.613962891
694.0,0.614246172
695.0,0.614558127
696.0,0.614885954
697.0,0.615203567
698.0,0.615506195
699.0,0.615835661
700.0,0.616154229
701.0,0.616443673
702.0,0.61671056
703.0,0.617038921
704.0,0.617350694
705.0,0.617656232
706.0,0.618030775
707.0,0.618342669
708.0,0.618644904
709.0,0.61898121
710.0,0.619324545
711.0,0.619647164
712.0,0.619967403
713.0,0.620304352
714.0,0.620597586
715.0,0.620941347
716.0,0.621298921
717.0,0.621549692
718.0,0.621874367
719.0,0.622211235
720.0,0.622520253
721.0,0.622861883
722.0,0.623166482
723.0,0.623471267
724.0,0.623819573
725.0,0.624146825
726.0,0.624493969
727.0,0.624834069
728.0,0.625105864
729.0,0.625378098
730.0,0.625673773
731.0,0.625991128
732.0,0.62630194
733.0,0.626612254
734.0,0.626903173
735.0,0.627171182
736.0,0.627481305
737.0,0.62776056
738.0,0.628028455
739.0,0.628346751
740.0,0.628681165
741.0,0.629013961
742.0,0.629325541
743.0,0.629596362
744.0,0.629929746
745.0,0.630269375
746.0,0.630567845
747.0,0.630894967
748.0,0.631224903
749.0,0.631551167
750.0,0.631874909
751.0,0.63220556
752.0,0.632500352
753.0,0.632782096
754.0,0.633122856
755.0,0.63340369
756.0,0.633670723
757.0,0.633961572
758.0,0.634246122
759.0,0.634555404
760.0,0.634868631
761.0,0.635160411
762.0,0.635452797
763.0,0.635721799
764.0,0.635991799
765.0,0.636300296
766.0,0.636532669
767.0,0.636797694
768.0,0.637109731
769.0,0.637346701
770.0,0.637639932
771.0,0.637931457
772.0,0.638170363
773.0,0.638416464
774.0,0.638714367
775.0,0.639014904
776.0,0.639254577
777.0,0.63949186
778.0,0.639766518
779.0,0.640063771
780.0,0.64032962
781.0,0.640554531
782.0,0.640823257
783.0,0.641132087
784.0,0.641337988
785.0,0.641560906
786.0,0.64180972
787.0,0.642063648
788.0,0.642299464
789.0,0.642526979
790.0,0.642749713
791.0,0.642975729
792.0,0.643251661
793.0,0.643482675
794.0,0.643690352
795.0,0.643975746
796.0,0.64421565
797.0,0.644423895
798.0,0.644630919
799.0,0.644862787
800.0,0.645058695
801.0,0.645269757
802.0,0.645519618
803.0,0.645684747
804.0,0.645894065
805.0,0.646136544
806.0,0.646355948
807.0,0.646551561
808.0,0.646764794
809.0,0.6469873
810.0,0.647180204
811.0,0.647357473
812.0,0.647559934
813.0,0.647778601
814.0,0.647947212
815.0,0.64809576
816.0,0.648281965
817.0,0.648502203
818.0,0.648620704
819.0,0.648752172
820.0,0.648915821
821.0,0.649098585
822.0,0.64928361
823.0,0.649458062
824.0,0.649618779
825.0,0.649769127
826.0,0.649909088
827.0,0.650051234
828.0,0.65019386
829.0,0.65032617
830.0,0.650480081
831.0,0.650621023
832.0,0.650738901
833.0,0.650865515
834.0,0.651018271
835.0,0.651156308
836.0,0.651256359
837.0,0.65135308
838.0,0.651467201
839.0,0.651581107
840.0,0.651680974
841.0,0.651808624
842.0,0.651932519
843.0,0.652036266
844.0,0.652117986
845.0,0.652207033
846.0,0.652291212
847.0,0.652379074
848.0,0.652489544
849.0,0.652605531
850.0,0.652693802
851.0,0.65277014
852.0,0.652891193
853.0,0.652971245
854.0,0.653052033
855.0,0.653145861
856.0,0.653196035
857.0,0.653289222
858.0,0.653386851
859.0,0.653456706
860.0,0.653542035
861.0,0.653608
862.0,0.653649596
863.0,0.653686765
864.0,0.65378968
865.0,0.653841622
866.0,0.653868708
867.0,0.65393243
868.0,0.653974578
869.0,0.654042774
870.0,0.654129683
871.0,0.654203321
872.0,0.654287707
873.0,0.654389785
874.0,0.65446341
875.0,0.654454161
876.0,0.654545966
877.0,0.654585686
878.0,0.654568959
879.0,0.654659198
880.0,0.654782811
881.0,0.65484919
882.0,0.654867784
883.0,0.654969196
884.0,0.655047842
885.0,0.65512605
886.0,0.655211113
887.0,0.655250187
888.0,0.655294387
889.0,0.655371343
890.0,0.65546673
891.0,0.655496644
892.0,0.65554151
893.0,0.655650521
894.0,0.65580055
895.0,0.65581306
896.0,0.6558028
897.0,0.655853573
898.0,0.655973082
899.0,0.655965948
900.0,0.656003269
901.0,0.656106262
902.0,0.656222307
903.0,0.656272385
904.0,0.656282949
905.0,0.656311279
906.0,0.656388373
907.0,0.65636948
908.0,0.656455754
909.0,0.656591543
910.0,0.656621665
911.0,0.656653105
912.0,0.656662029
913.0,0.656703384
914.0,0.656833518
915.0,0.656850922
916.0,0.656922371
917.0,0.657026417
918.0,0.657048201
919.0,0.657192263
920.0,0.65728436
921.0,0.65731942
922.0,0.657415272
923.0,0.657527684
924.0,0.657552223
925.0,0.657553223
926.0,0.657683306
927.0,0.657754064
928.0,0.657825343
929.0,0.657901921
930.0,0.6579356
931.0,0.65794083
932.0,0.657980314
933.0,0.658034702
934.0,0.658036041
935.0,0.658088936
936.0,0.658197001
937.0,0.658322235
938.0,0.658400936
939.0,0.658370392
940.0,0.658390869
941.0,0.658454849
942.0,0.658434751
943.0,0.658490673
944.0,0.65847947
945.0,0.658368909
946.0,0.658233297
947.0,0.658083646
948.0,0.657977131
949.0,0.657897956
950.0,0.657779847
951.0,0.657600185
952.0,0.657483753
953.0,0.657364329
954.0,0.657104929
955.0,0.65693846
956.0,0.656850634
957.0,0.656760132
958.0,0.6566058
959.0,0.65657771
960.0,0.656604802
961.0,0.656602779
962.0,0.656556476
963.0,0.656724933
964.0,0.65693974
965.0,0.657140614
966.0,0.65736876
967.0,0.65779258
968.0,0.658311806
969.0,0.658841959
970.0,0.659323396
971.0,0.659749634
972.0,0.660129759
973.0,0.6604939
974.0,0.66085254
975.0,0.661151805
976.0,0.661370696
977.0,0.661519522
978.0,0.661675868
979.0,0.662007569
980.0,0.662124245
981.0,0.662191748
982.0,0.662376864
983.0,0.662608226
984.0,0.662684456
985.0,0.662658189
986.0,0.662689917
987.0,0.662939319
988.0,0.662980439
989.0,0.663116316
990.0,0.663404254
991.0,0.663596986
992.0,0.663752456
993.0,0.663904586
994.0,0.66402165
995.0,0.664071342
996.0,0.664270182
997.0,0.664300946
998.0,0.664265593
999.0,0.664424779
1000.0,0.664722991
1001.0,0.664370949
1002.0,0.664388518
1003.0,0.664389761
1004.0,0.664416843
1005.0,0.664354051
1006.0,0.66435502
1007.0,0.664415564
1008.0,0.664441486
1009.0,0.664449997
1010.0,0.664495037
1011.0,0.664495352
1012.0,0.664490774
1013.0,0.664487321
1014.0,0.664439361
1015.0,0.664456095
1016.0,0.664452017
1017.0,0.664400152
1018.0,0.664424503
1019.0,0.664444406
1020.0,0.664451305
1021.0,0.664448361
1022.0,0.664460829
1023.0,0.66444139
1024.0,0.664426548
1025.0,0.664402968
1026.0,0.664395495
1027.0,0.664383391
1028.0,0.664362357
1029.0,0.66439285
