Database of Origin,Crowley et al 1991
Sample Description,Borates
Date Added,2017-03-22 23:56:03.403281

Data ID,CROW_1_6            
Mineral Name,Teepleite
Locality,"Borax Lake, California"
Formula,Na2B(OH)4Cl
Composition,Sample contained moderate amount of trona

Wavelength
406.0,0.56
407.0,0.562
408.0,0.563
409.0,0.565
410.0,0.567
411.0,0.569
412.0,0.571
413.0,0.573
414.0,0.575
415.0,0.577
416.0,0.579
417.0,0.58
418.0,0.582
419.0,0.584
420.0,0.586
421.0,0.588
422.0,0.59
423.0,0.592
424.0,0.594
425.0,0.596
426.0,0.598
427.0,0.6
428.0,0.602
429.0,0.604
430.0,0.606
431.0,0.608
432.0,0.61
433.0,0.612
434.0,0.614
435.0,0.616
436.0,0.618
437.0,0.619
438.0,0.621
439.0,0.623
440.0,0.625
441.0,0.627
442.0,0.629
443.0,0.631
444.0,0.632
445.0,0.634
446.0,0.636
447.0,0.638
448.0,0.64
449.0,0.642
450.0,0.644
451.0,0.645
452.0,0.647
453.0,0.649
454.0,0.65
455.0,0.652
456.0,0.653
457.0,0.655
458.0,0.657
459.0,0.658
460.0,0.66
461.0,0.661
462.0,0.663
463.0,0.664
464.0,0.666
465.0,0.667
466.0,0.669
467.0,0.671
468.0,0.672
469.0,0.674
470.0,0.676
471.0,0.677
472.0,0.679
473.0,0.681
474.0,0.682
475.0,0.684
476.0,0.686
477.0,0.687
478.0,0.689
479.0,0.691
480.0,0.692
481.0,0.694
482.0,0.695
483.0,0.696
484.0,0.698
485.0,0.699
486.0,0.7
487.0,0.701
488.0,0.702
489.0,0.704
490.0,0.705
491.0,0.707
492.0,0.708
493.0,0.71
494.0,0.711
495.0,0.713
496.0,0.714
497.0,0.716
498.0,0.717
499.0,0.719
500.0,0.72
501.0,0.721
502.0,0.723
503.0,0.724
504.0,0.726
505.0,0.727
506.0,0.729
507.0,0.73
508.0,0.732
509.0,0.733
510.0,0.734
511.0,0.736
512.0,0.737
513.0,0.738
514.0,0.739
515.0,0.74
516.0,0.741
517.0,0.742
518.0,0.743
519.0,0.745
520.0,0.746
521.0,0.747
522.0,0.749
523.0,0.75
524.0,0.751
525.0,0.753
526.0,0.755
527.0,0.756
528.0,0.758
529.0,0.759
530.0,0.761
531.0,0.762
532.0,0.763
533.0,0.765
534.0,0.766
535.0,0.767
536.0,0.768
537.0,0.769
538.0,0.77
539.0,0.771
540.0,0.772
541.0,0.774
542.0,0.775
543.0,0.777
544.0,0.778
545.0,0.779
546.0,0.78
547.0,0.781
548.0,0.782
549.0,0.784
550.0,0.785
551.0,0.786
552.0,0.787
553.0,0.788
554.0,0.789
555.0,0.79
556.0,0.791
557.0,0.792
558.0,0.793
559.0,0.794
560.0,0.794
561.0,0.795
562.0,0.796
563.0,0.797
564.0,0.798
565.0,0.799
566.0,0.8
567.0,0.801
568.0,0.802
569.0,0.803
570.0,0.804
571.0,0.805
572.0,0.806
573.0,0.807
574.0,0.808
575.0,0.809
576.0,0.81
577.0,0.811
578.0,0.812
579.0,0.813
580.0,0.814
581.0,0.815
582.0,0.816
583.0,0.817
584.0,0.818
585.0,0.818
586.0,0.819
587.0,0.82
588.0,0.821
589.0,0.822
590.0,0.822
591.0,0.823
592.0,0.823
593.0,0.824
594.0,0.825
595.0,0.825
596.0,0.826
597.0,0.826
598.0,0.827
599.0,0.828
600.0,0.828
601.0,0.829
602.0,0.83
603.0,0.83
604.0,0.831
605.0,0.831
606.0,0.832
607.0,0.832
608.0,0.833
609.0,0.834
610.0,0.834
611.0,0.835
612.0,0.836
613.0,0.837
614.0,0.837
615.0,0.838
616.0,0.839
617.0,0.839
618.0,0.84
619.0,0.84
620.0,0.84
621.0,0.841
622.0,0.841
623.0,0.841
624.0,0.842
625.0,0.842
626.0,0.842
627.0,0.843
628.0,0.843
629.0,0.844
630.0,0.844
631.0,0.844
632.0,0.844
633.0,0.845
634.0,0.845
635.0,0.845
636.0,0.845
637.0,0.846
638.0,0.846
639.0,0.847
640.0,0.848
641.0,0.848
642.0,0.849
643.0,0.849
644.0,0.85
645.0,0.85
646.0,0.851
647.0,0.851
648.0,0.852
649.0,0.852
650.0,0.853
651.0,0.853
652.0,0.853
653.0,0.853
654.0,0.854
655.0,0.854
656.0,0.854
657.0,0.855
658.0,0.855
659.0,0.856
660.0,0.857
661.0,0.858
662.0,0.859
663.0,0.859
664.0,0.86
665.0,0.86
666.0,0.861
667.0,0.861
668.0,0.861
669.0,0.862
