Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, Mastcam-Z resolution"
Date Added,2017-11-11 07:12:54.732896

Data ID,WWU_Sulf_113        
Sample ID,Mg_Sulf_MCZ_23
Mineral Name,80% Bassanite-20% Gypsum MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic calcium sulfate

Wavelength
495.0,0.681354
527.0,0.693669
554.0,0.698666
600.0,0.710306
640.0,0.716961
676.0,0.724264
751.0,0.742061
805.0,0.752086
867.0,0.764138
908.0,0.772077
937.0,0.776525
975.0,0.78172
1012.0,0.788605
