Database of Origin,Western Washington University
Sample Description,"Magnesium sulfates dust contaminated mixtures, Mastcam-Z resolution"
Date Added,2017-11-11 19:02:15.437911

Data ID,WWU_Sulf_173        
Sample ID,Ca_Dust_MCZ_05
Mineral Name,80% Gypsum-20% Anhydrite 5% Mars JSC-1A MCZ
Locality,Synthetic
Grain Size,500-1000um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
495.0,0.530551
527.0,0.544441
554.0,0.555821
600.0,0.579453
640.0,0.596255
676.0,0.614915
751.0,0.65364
805.0,0.668459
867.0,0.676512
908.0,0.680698
937.0,0.683237
975.0,0.686273
1012.0,0.68999
