Database of Origin,Crowley et al 1991
Sample Description,Carbonates
Date Added,2017-03-22 23:56:03.587422

Data ID,CROW_2_5            
Mineral Name,Natron
Formula,Na2CO3 * 10H20
Composition,"evaporation of NaHCO3 solution at 5C, Sample contains moderate amount of nahcolite"

Wavelength
406.0,0.92
407.0,0.921
408.0,0.921
409.0,0.922
410.0,0.922
411.0,0.922
412.0,0.922
413.0,0.923
414.0,0.923
415.0,0.923
416.0,0.923
417.0,0.923
418.0,0.923
419.0,0.923
420.0,0.923
421.0,0.923
422.0,0.923
423.0,0.924
424.0,0.924
425.0,0.924
426.0,0.924
427.0,0.924
428.0,0.924
429.0,0.924
430.0,0.924
431.0,0.924
432.0,0.924
433.0,0.925
434.0,0.925
435.0,0.925
436.0,0.925
437.0,0.925
438.0,0.925
439.0,0.925
440.0,0.926
441.0,0.926
442.0,0.926
443.0,0.926
444.0,0.926
445.0,0.926
446.0,0.926
447.0,0.926
448.0,0.926
449.0,0.926
450.0,0.926
451.0,0.926
452.0,0.926
453.0,0.926
454.0,0.927
455.0,0.927
456.0,0.927
457.0,0.927
458.0,0.926
459.0,0.926
460.0,0.926
461.0,0.926
462.0,0.926
463.0,0.925
464.0,0.925
465.0,0.925
466.0,0.925
467.0,0.926
468.0,0.926
469.0,0.926
470.0,0.926
471.0,0.926
472.0,0.926
473.0,0.926
474.0,0.926
475.0,0.926
476.0,0.926
477.0,0.926
478.0,0.926
479.0,0.926
480.0,0.926
481.0,0.925
482.0,0.925
483.0,0.925
484.0,0.925
485.0,0.925
486.0,0.925
487.0,0.925
488.0,0.925
489.0,0.925
490.0,0.925
491.0,0.926
492.0,0.926
493.0,0.926
494.0,0.925
495.0,0.925
496.0,0.925
497.0,0.925
498.0,0.925
499.0,0.925
500.0,0.925
501.0,0.925
502.0,0.925
503.0,0.925
504.0,0.925
505.0,0.926
506.0,0.926
507.0,0.925
508.0,0.925
509.0,0.925
510.0,0.925
511.0,0.924
512.0,0.924
513.0,0.924
514.0,0.924
515.0,0.924
516.0,0.924
517.0,0.924
518.0,0.924
519.0,0.924
520.0,0.924
521.0,0.925
522.0,0.925
523.0,0.925
524.0,0.925
525.0,0.925
526.0,0.925
527.0,0.926
528.0,0.926
529.0,0.926
