Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:15:58.898620

Data ID,WWU_Sulf_15         
Sample ID,Ca_Sulf_15
Mineral Name,60% Anhydrite-40% Gypsum
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
650.0,0.969080523
651.0,0.969225901
652.0,0.969359925
653.0,0.969470502
654.0,0.969572851
655.0,0.969766195
656.0,0.969917168
657.0,0.970040002
658.0,0.970270535
659.0,0.97034384
660.0,0.970456721
661.0,0.970717364
662.0,0.970826871
663.0,0.970903057
664.0,0.971017089
665.0,0.971200806
666.0,0.971325698
667.0,0.9714357
668.0,0.971572438
669.0,0.97175558
670.0,0.971916919
671.0,0.972053742
672.0,0.972196898
673.0,0.97242562
674.0,0.972680422
675.0,0.972861096
676.0,0.97288364
677.0,0.97299833
678.0,0.973178838
679.0,0.973358442
680.0,0.973457912
681.0,0.973724644
682.0,0.973926956
683.0,0.973870927
684.0,0.974095535
685.0,0.974312163
686.0,0.974461902
687.0,0.974671371
688.0,0.974930041
689.0,0.975168142
690.0,0.975329646
691.0,0.975390364
692.0,0.975511635
693.0,0.97577664
694.0,0.976161353
695.0,0.976325984
696.0,0.976395177
697.0,0.976553636
698.0,0.976984998
699.0,0.977301753
700.0,0.977477244
701.0,0.977613984
702.0,0.977952622
703.0,0.978263372
704.0,0.978531009
705.0,0.978818064
706.0,0.979126179
707.0,0.979427714
708.0,0.9797058
709.0,0.979960602
710.0,0.980250124
711.0,0.980602833
712.0,0.980986642
713.0,0.981222439
714.0,0.981582635
715.0,0.981976234
716.0,0.98220479
717.0,0.982483782
718.0,0.982796177
719.0,0.9830973
720.0,0.983338362
721.0,0.98366466
722.0,0.984019014
723.0,0.98430755
724.0,0.984432689
725.0,0.984699091
726.0,0.985059205
727.0,0.985336303
728.0,0.985714106
729.0,0.986039582
730.0,0.986236464
731.0,0.986352388
732.0,0.986744012
733.0,0.987073026
734.0,0.987124693
735.0,0.987427463
736.0,0.987628458
737.0,0.987755983
738.0,0.987974502
739.0,0.988163733
740.0,0.988394757
741.0,0.988673008
742.0,0.988921064
743.0,0.989091125
744.0,0.989302898
745.0,0.989572839
746.0,0.989541165
747.0,0.989725458
748.0,0.990043117
749.0,0.990211039
750.0,0.990355512
751.0,0.990528287
752.0,0.990733067
753.0,0.99092567
754.0,0.990998484
755.0,0.991180556
756.0,0.991551693
757.0,0.991747258
