Database of Origin,ASTER / ECOSTRESS Spectral Library
Sample Description,ASTER / ECOSTRESS Medium Biotite
Other Information,mineral.silicate.phyllosilicate.medium.vswir.ps-23a.jpl.perkin.spectrum.txt
Date Added,2018-06-29 20:04:47.130216

Data ID,ASTR_544            
Sample ID,PS-23A
Mineral Name,Biotite
Locality,Unknown.
Grain Size,45-125um
Formula,K(Mg/Fe^2+)_3(Al/Fe^3+)Si_3O_10(OH/F)_2
Material Class,silicate

Wavelength
400.0,0.085254
401.0,0.085274
402.0,0.08532400000000001
403.0,0.085362
404.0,0.08539300000000001
405.0,0.085404
406.0,0.085488
407.0,0.085496
408.0,0.08556699999999999
409.0,0.08566499999999999
410.0,0.085717
411.0,0.08580199999999999
412.0,0.0859
413.0,0.085969
414.0,0.086059
415.0,0.086148
416.0,0.08625999999999999
417.0,0.0864
418.0,0.086464
419.0,0.0866
420.0,0.086735
421.0,0.086851
422.0,0.087011
423.0,0.087135
424.0,0.087338
425.0,0.087508
426.0,0.087644
427.0,0.08788299999999999
428.0,0.088072
429.0,0.088304
430.0,0.08854799999999999
431.0,0.088773
432.0,0.089017
433.0,0.089254
434.0,0.089504
435.0,0.08972899999999999
436.0,0.090038
437.0,0.09016500000000001
438.0,0.090276
439.0,0.09049099999999999
440.0,0.09068899999999999
441.0,0.090936
442.0,0.09112500000000001
443.0,0.09133
444.0,0.091561
445.0,0.091792
446.0,0.09204499999999999
447.0,0.092278
448.0,0.092509
449.0,0.09276300000000001
450.0,0.092998
451.0,0.093263
452.0,0.09347
453.0,0.09374
454.0,0.093978
455.0,0.094275
456.0,0.094547
457.0,0.094818
458.0,0.095121
459.0,0.095339
460.0,0.095619
461.0,0.095851
462.0,0.096111
463.0,0.09631
464.0,0.096541
465.0,0.09673899999999999
466.0,0.09701599999999999
467.0,0.09716699999999999
468.0,0.097372
469.0,0.097621
470.0,0.09778600000000001
471.0,0.09800800000000001
472.0,0.09824999999999999
473.0,0.09844900000000001
474.0,0.09865299999999999
475.0,0.098826
476.0,0.099077
477.0,0.099271
478.0,0.099388
479.0,0.099513
480.0,0.099635
481.0,0.099825
482.0,0.10005000000000001
483.0,0.10037499999999999
484.0,0.100711
485.0,0.101164
486.0,0.10155900000000001
487.0,0.101982
488.0,0.102335
489.0,0.102738
490.0,0.103132
491.0,0.10352299999999999
492.0,0.1039
493.0,0.104289
494.0,0.104634
495.0,0.105056
496.0,0.105362
497.0,0.105822
498.0,0.106177
499.0,0.106561
500.0,0.106913
501.0,0.107323
502.0,0.107677
503.0,0.10803900000000001
504.0,0.108375
505.0,0.108696
506.0,0.108991
507.0,0.109315
508.0,0.109616
509.0,0.109956
510.0,0.110306
511.0,0.110557
512.0,0.110848
513.0,0.111206
514.0,0.11150399999999999
515.0,0.111815
516.0,0.112145
517.0,0.11244799999999999
518.0,0.112697
519.0,0.11304399999999999
520.0,0.1133
521.0,0.113613
522.0,0.11391400000000002
523.0,0.114177
524.0,0.11445999999999999
525.0,0.11473000000000001
526.0,0.114933
527.0,0.11525
528.0,0.11544499999999999
529.0,0.115715
530.0,0.115951
531.0,0.11619199999999999
532.0,0.116423
533.0,0.116666
534.0,0.116837
535.0,0.11706799999999999
536.0,0.11725899999999999
537.0,0.117477
538.0,0.117688
539.0,0.117887
540.0,0.118119
541.0,0.118261
542.0,0.11847099999999999
543.0,0.118711
544.0,0.118884
545.0,0.119042
546.0,0.119214
547.0,0.11939999999999999
548.0,0.119608
549.0,0.11974399999999999
550.0,0.119977
551.0,0.120167
552.0,0.12035399999999999
553.0,0.12048299999999999
554.0,0.12068899999999999
555.0,0.120878
556.0,0.12103199999999999
557.0,0.121211
558.0,0.121443
559.0,0.121592
560.0,0.121761
561.0,0.12202600000000001
562.0,0.122439
563.0,0.122605
564.0,0.122738
565.0,0.122864
566.0,0.123013
567.0,0.12319699999999999
568.0,0.123367
569.0,0.123528
570.0,0.123683
571.0,0.12381700000000001
572.0,0.123958
573.0,0.12410700000000001
574.0,0.12423000000000001
575.0,0.124361
576.0,0.12446600000000001
577.0,0.124605
578.0,0.124775
579.0,0.12489900000000001
580.0,0.125013
581.0,0.125142
582.0,0.12524100000000002
583.0,0.125361
584.0,0.125485
585.0,0.125604
586.0,0.125712
587.0,0.125809
588.0,0.1259
589.0,0.125994
590.0,0.12612
591.0,0.126249
592.0,0.126369
593.0,0.126432
594.0,0.126493
595.0,0.126583
596.0,0.12667899999999999
597.0,0.126717
598.0,0.126737
599.0,0.126803
600.0,0.126851
601.0,0.126897
602.0,0.126981
603.0,0.127043
604.0,0.12709
605.0,0.127118
606.0,0.12717499999999998
607.0,0.127218
608.0,0.127233
609.0,0.127261
610.0,0.12728799999999998
611.0,0.127306
612.0,0.12734
613.0,0.12737500000000002
614.0,0.12737500000000002
615.0,0.127378
616.0,0.127355
617.0,0.127348
618.0,0.127341
619.0,0.127348
620.0,0.12732
621.0,0.12728899999999999
622.0,0.127315
623.0,0.12729200000000002
624.0,0.127248
625.0,0.127237
626.0,0.127227
627.0,0.127211
628.0,0.127138
629.0,0.127077
630.0,0.127074
631.0,0.127056
632.0,0.12701
633.0,0.126995
634.0,0.126959
635.0,0.126944
636.0,0.126921
637.0,0.12684499999999999
638.0,0.126823
639.0,0.12679
640.0,0.12675599999999998
641.0,0.12671
642.0,0.126654
643.0,0.126612
644.0,0.126556
645.0,0.12651500000000002
646.0,0.12648500000000001
647.0,0.126441
648.0,0.126374
649.0,0.12629400000000002
650.0,0.126265
651.0,0.12622999999999998
652.0,0.126174
653.0,0.12611
654.0,0.126045
655.0,0.125969
656.0,0.125931
657.0,0.12587099999999998
658.0,0.125777
659.0,0.125746
660.0,0.125694
661.0,0.12562900000000002
662.0,0.125573
663.0,0.12551
664.0,0.125437
665.0,0.12539
666.0,0.125328
667.0,0.125233
668.0,0.125158
669.0,0.125131
670.0,0.125062
671.0,0.12497899999999999
672.0,0.12491
673.0,0.124863
674.0,0.12479799999999999
675.0,0.124735
676.0,0.12467700000000001
677.0,0.12465
678.0,0.124607
679.0,0.12457499999999999
680.0,0.124511
681.0,0.124444
682.0,0.12442600000000001
683.0,0.1244
684.0,0.124369
685.0,0.124306
686.0,0.124261
687.0,0.124228
688.0,0.124191
689.0,0.12415699999999999
690.0,0.124138
691.0,0.124155
692.0,0.124147
693.0,0.12410700000000001
694.0,0.124085
695.0,0.124113
696.0,0.124098
697.0,0.12402200000000001
698.0,0.124027
699.0,0.12402799999999999
700.0,0.12404299999999999
701.0,0.123976
702.0,0.12396599999999999
703.0,0.12403499999999999
704.0,0.123997
705.0,0.12405799999999999
706.0,0.1241
707.0,0.1241
708.0,0.124071
709.0,0.124085
710.0,0.124159
711.0,0.124183
712.0,0.124153
713.0,0.124182
714.0,0.124311
715.0,0.124254
716.0,0.124349
717.0,0.12439700000000001
718.0,0.124469
719.0,0.12451499999999999
720.0,0.124543
721.0,0.124655
722.0,0.124691
723.0,0.124775
724.0,0.1249
725.0,0.12492800000000001
726.0,0.125053
727.0,0.125136
728.0,0.12526099999999998
729.0,0.12526500000000002
730.0,0.12542899999999998
731.0,0.125508
732.0,0.125638
733.0,0.12579
734.0,0.125893
735.0,0.125995
736.0,0.1261
737.0,0.126288
738.0,0.126393
739.0,0.126537
740.0,0.126709
741.0,0.126875
742.0,0.127013
743.0,0.127149
744.0,0.12738
745.0,0.127532
746.0,0.12768100000000002
747.0,0.12786899999999998
748.0,0.127995
749.0,0.12820700000000002
750.0,0.128382
751.0,0.128523
752.0,0.128822
753.0,0.129114
754.0,0.1293
755.0,0.129489
756.0,0.12970700000000002
757.0,0.12983599999999998
758.0,0.130101
759.0,0.130277
760.0,0.130518
761.0,0.13075900000000001
762.0,0.13106299999999999
763.0,0.1313
764.0,0.131607
765.0,0.131826
766.0,0.132095
767.0,0.132334
768.0,0.132609
769.0,0.13292199999999998
770.0,0.133204
771.0,0.133442
772.0,0.133568
773.0,0.133845
774.0,0.134202
775.0,0.134463
776.0,0.13487
777.0,0.134974
778.0,0.135536
779.0,0.135735
780.0,0.136018
781.0,0.136411
782.0,0.136518
783.0,0.13683
784.0,0.137209
785.0,0.137383
786.0,0.137691
787.0,0.13793
788.0,0.138335
