Database of Origin,Crowley et al 1991
Sample Description,Borates
Date Added,2017-03-22 23:56:03.453461

Data ID,CROW_1_7_1          
Mineral Name,Tincalconite
Formula,Na2B4O5(OH)4 * 3H2O
Composition,dehydration of borax at 60C

Wavelength
790.0,0.875
791.0,0.876
792.0,0.876
793.0,0.876
794.0,0.876
795.0,0.875
796.0,0.875
797.0,0.875
798.0,0.875
799.0,0.875
800.0,0.875
801.0,0.875
802.0,0.874
803.0,0.873
804.0,0.872
805.0,0.869
809.0,0.871
813.0,0.872
817.0,0.873
821.0,0.872
825.0,0.87
829.0,0.869
833.0,0.869
837.0,0.869
841.0,0.868
845.0,0.868
849.0,0.869
853.0,0.868
857.0,0.87
861.0,0.871
865.0,0.871
869.0,0.87
873.0,0.869
877.0,0.868
881.0,0.868
885.0,0.868
889.0,0.869
893.0,0.869
897.0,0.869
901.0,0.869
905.0,0.867
909.0,0.866
913.0,0.866
917.0,0.866
921.0,0.865
925.0,0.864
929.0,0.864
933.0,0.864
937.0,0.862
941.0,0.861
945.0,0.86
949.0,0.858
953.0,0.856
957.0,0.852
961.0,0.849
965.0,0.846
969.0,0.843
973.0,0.844
977.0,0.844
981.0,0.843
985.0,0.842
989.0,0.843
993.0,0.846
997.0,0.846
1001.0,0.847
1005.0,0.848
1009.0,0.851
1013.0,0.851
1017.0,0.85
1021.0,0.851
1025.0,0.851
1029.0,0.851
1033.0,0.853
1037.0,0.855
1041.0,0.856
1045.0,0.856
1049.0,0.855
1053.0,0.855
1057.0,0.856
1061.0,0.855
1065.0,0.858
1069.0,0.858
1073.0,0.858
1077.0,0.858
1081.0,0.857
1085.0,0.856
1089.0,0.858
1093.0,0.856
1097.0,0.853
1101.0,0.851
1105.0,0.85
1109.0,0.848
1113.0,0.848
1117.0,0.846
1121.0,0.846
1125.0,0.845
1129.0,0.841
1133.0,0.84
1137.0,0.838
1141.0,0.833
1145.0,0.828
1149.0,0.821
1153.0,0.814
1157.0,0.809
1161.0,0.808
1165.0,0.809
1169.0,0.81
1173.0,0.811
1177.0,0.811
1181.0,0.812
1185.0,0.811
1189.0,0.81
1193.0,0.81
1197.0,0.809
1201.0,0.808
1205.0,0.809
1209.0,0.809
1213.0,0.807
1217.0,0.807
1221.0,0.808
1225.0,0.806
1229.0,0.805
1233.0,0.806
1237.0,0.806
1241.0,0.805
1245.0,0.804
1249.0,0.804
1253.0,0.804
1257.0,0.804
1261.0,0.803
1265.0,0.803
1269.0,0.802
1273.0,0.799
1277.0,0.798
1281.0,0.797
1285.0,0.797
1289.0,0.799
1293.0,0.799
1297.0,0.8
1301.0,0.801
1305.0,0.801
1309.0,0.801
1313.0,0.8
1317.0,0.798
1321.0,0.794
1325.0,0.792
1329.0,0.789
1333.0,0.786
1337.0,0.782
1341.0,0.778
1345.0,0.773
1349.0,0.768
1353.0,0.763
1357.0,0.758
1361.0,0.755
1365.0,0.751
1369.0,0.746
1373.0,0.743
1377.0,0.737
1381.0,0.731
1385.0,0.724
1389.0,0.714
1393.0,0.702
1397.0,0.691
1401.0,0.676
1405.0,0.659
1409.0,0.64
1413.0,0.619
1417.0,0.601
1421.0,0.589
1425.0,0.585
1429.0,0.588
1433.0,0.592
1437.0,0.591
1441.0,0.588
1445.0,0.584
1449.0,0.58
1453.0,0.574
1457.0,0.568
1461.0,0.561
1465.0,0.556
1469.0,0.553
1473.0,0.551
1477.0,0.551
1481.0,0.552
1485.0,0.555
1489.0,0.56
1493.0,0.566
1497.0,0.571
1501.0,0.575
1505.0,0.579
1509.0,0.583
1513.0,0.584
1517.0,0.582
1521.0,0.581
1525.0,0.579
1529.0,0.574
1533.0,0.571
1537.0,0.569
1541.0,0.567
1545.0,0.566
1549.0,0.564
1553.0,0.563
1557.0,0.563
1561.0,0.564
1565.0,0.563
1569.0,0.564
1573.0,0.563
1577.0,0.563
1581.0,0.564
1585.0,0.564
1589.0,0.562
1593.0,0.561
1597.0,0.56
1601.0,0.56
1605.0,0.56
1609.0,0.559
1613.0,0.557
1617.0,0.553
1621.0,0.551
1625.0,0.549
1629.0,0.547
1633.0,0.546
1637.0,0.544
1641.0,0.542
1645.0,0.54
1649.0,0.539
1653.0,0.537
1657.0,0.535
1661.0,0.532
1665.0,0.531
1669.0,0.529
1673.0,0.527
1677.0,0.525
1681.0,0.524
1685.0,0.523
1689.0,0.523
1693.0,0.522
1697.0,0.521
1701.0,0.52
1705.0,0.519
1709.0,0.519
1713.0,0.519
1717.0,0.518
1721.0,0.518
1725.0,0.517
1729.0,0.517
1733.0,0.519
1737.0,0.519
1741.0,0.518
1745.0,0.518
1749.0,0.52
1753.0,0.519
1757.0,0.516
1761.0,0.515
1765.0,0.512
1769.0,0.51
1773.0,0.507
1777.0,0.505
1781.0,0.504
1785.0,0.502
1789.0,0.499
1793.0,0.497
1797.0,0.495
1801.0,0.493
1805.0,0.492
1809.0,0.491
1813.0,0.489
1817.0,0.487
1821.0,0.487
1825.0,0.486
1829.0,0.484
1833.0,0.481
1837.0,0.48
1841.0,0.479
1845.0,0.477
1849.0,0.475
1853.0,0.471
1857.0,0.469
1861.0,0.465
1865.0,0.459
1869.0,0.453
1873.0,0.444
1877.0,0.435
1881.0,0.423
1885.0,0.408
1889.0,0.392
1893.0,0.373
1897.0,0.351
1901.0,0.332
1905.0,0.316
1909.0,0.306
1913.0,0.3
1917.0,0.296
1921.0,0.294
1925.0,0.293
1929.0,0.293
1933.0,0.293
1937.0,0.296
1941.0,0.3
1945.0,0.305
1949.0,0.309
1953.0,0.313
1957.0,0.317
1961.0,0.321
1965.0,0.323
1969.0,0.324
1973.0,0.325
1977.0,0.328
1981.0,0.33
1985.0,0.332
1989.0,0.332
1993.0,0.334
1997.0,0.334
2001.0,0.336
2005.0,0.337
2009.0,0.34
2013.0,0.343
2017.0,0.345
2021.0,0.345
2025.0,0.347
2029.0,0.348
2033.0,0.35
2037.0,0.352
2041.0,0.353
2045.0,0.354
2049.0,0.356
2053.0,0.357
2057.0,0.359
2061.0,0.359
2065.0,0.36
2069.0,0.362
2073.0,0.362
2077.0,0.363
2081.0,0.364
2085.0,0.364
2089.0,0.364
2093.0,0.364
2097.0,0.366
2101.0,0.368
2105.0,0.368
2109.0,0.368
2113.0,0.37
2117.0,0.371
2121.0,0.371
2125.0,0.371
2129.0,0.37
2133.0,0.367
2137.0,0.362
2141.0,0.357
2145.0,0.354
2149.0,0.352
2153.0,0.35
2157.0,0.352
2161.0,0.354
2165.0,0.356
2169.0,0.36
2173.0,0.364
2177.0,0.368
2181.0,0.37
2185.0,0.371
2189.0,0.372
2193.0,0.371
2197.0,0.369
2201.0,0.369
2205.0,0.367
2209.0,0.367
2213.0,0.365
2217.0,0.363
2221.0,0.361
2225.0,0.36
2229.0,0.359
2233.0,0.358
2237.0,0.357
2241.0,0.356
2245.0,0.355
2249.0,0.354
2253.0,0.355
2257.0,0.356
2261.0,0.356
2265.0,0.357
2269.0,0.356
2273.0,0.357
2277.0,0.357
2281.0,0.356
2285.0,0.356
2289.0,0.356
2293.0,0.356
2297.0,0.356
2301.0,0.357
2305.0,0.356
2309.0,0.356
2313.0,0.356
2317.0,0.356
2321.0,0.356
2325.0,0.356
2329.0,0.357
2333.0,0.358
2337.0,0.357
2341.0,0.356
2345.0,0.354
2349.0,0.353
2353.0,0.351
2357.0,0.349
2361.0,0.348
2365.0,0.346
2369.0,0.342
2373.0,0.339
2377.0,0.335
2381.0,0.329
2385.0,0.323
2389.0,0.319
2393.0,0.314
2397.0,0.309
2401.0,0.304
2405.0,0.299
2409.0,0.295
2413.0,0.289
2417.0,0.284
2421.0,0.281
2425.0,0.277
2429.0,0.274
2433.0,0.271
2437.0,0.27
2441.0,0.268
2445.0,0.266
2449.0,0.264
2453.0,0.263
2457.0,0.261
2461.0,0.259
2465.0,0.256
2469.0,0.253
2473.0,0.249
2477.0,0.244
2481.0,0.241
2485.0,0.237
2489.0,0.233
2493.0,0.228
2497.0,0.223
2501.0,0.219
2505.0,0.219
