Database of Origin,Crowley et al 1991
Sample Description,Carbonates
Date Added,2017-03-22 23:56:03.633856

Data ID,CROW_2_7_2          
Mineral Name,Trona
Locality,"Green River Formation, Wyoming"
Formula,Na3(CO3)(HCO3) * 2H20

Wavelength
406.0,0.693
407.0,0.693
408.0,0.694
409.0,0.695
410.0,0.696
411.0,0.696
412.0,0.697
413.0,0.697
414.0,0.698
415.0,0.698
416.0,0.698
417.0,0.699
418.0,0.699
419.0,0.7
420.0,0.7
421.0,0.7
422.0,0.701
423.0,0.702
424.0,0.702
425.0,0.703
426.0,0.704
427.0,0.705
428.0,0.706
429.0,0.707
430.0,0.708
431.0,0.708
432.0,0.709
433.0,0.709
434.0,0.71
435.0,0.711
436.0,0.711
437.0,0.712
438.0,0.713
439.0,0.714
440.0,0.715
441.0,0.715
442.0,0.716
443.0,0.717
444.0,0.717
445.0,0.718
446.0,0.718
447.0,0.719
448.0,0.719
449.0,0.72
450.0,0.72
451.0,0.72
452.0,0.72
453.0,0.721
454.0,0.721
455.0,0.721
456.0,0.721
457.0,0.722
458.0,0.722
459.0,0.723
460.0,0.724
461.0,0.724
462.0,0.725
463.0,0.725
464.0,0.726
465.0,0.726
466.0,0.727
467.0,0.727
468.0,0.728
469.0,0.728
470.0,0.729
471.0,0.729
472.0,0.729
473.0,0.73
474.0,0.73
475.0,0.73
476.0,0.731
477.0,0.731
478.0,0.732
479.0,0.732
480.0,0.732
481.0,0.733
482.0,0.733
483.0,0.733
484.0,0.733
485.0,0.733
486.0,0.733
487.0,0.734
488.0,0.734
489.0,0.734
490.0,0.734
491.0,0.734
492.0,0.735
493.0,0.735
494.0,0.735
495.0,0.735
496.0,0.735
497.0,0.736
498.0,0.736
499.0,0.736
500.0,0.736
501.0,0.736
502.0,0.736
503.0,0.737
504.0,0.737
505.0,0.737
506.0,0.738
507.0,0.738
508.0,0.739
509.0,0.739
510.0,0.74
511.0,0.74
512.0,0.74
513.0,0.74
514.0,0.741
515.0,0.741
516.0,0.741
517.0,0.741
518.0,0.741
519.0,0.742
520.0,0.742
521.0,0.742
522.0,0.743
523.0,0.743
524.0,0.744
525.0,0.744
526.0,0.745
527.0,0.745
528.0,0.745
529.0,0.745
530.0,0.745
531.0,0.745
532.0,0.745
533.0,0.745
534.0,0.745
535.0,0.745
536.0,0.745
537.0,0.745
538.0,0.744
539.0,0.744
540.0,0.744
541.0,0.745
542.0,0.745
543.0,0.746
544.0,0.746
545.0,0.747
546.0,0.748
547.0,0.748
548.0,0.748
549.0,0.748
550.0,0.748
551.0,0.748
552.0,0.747
553.0,0.747
554.0,0.747
555.0,0.748
556.0,0.748
557.0,0.749
558.0,0.749
559.0,0.75
560.0,0.751
561.0,0.751
562.0,0.751
563.0,0.752
564.0,0.752
565.0,0.752
566.0,0.752
567.0,0.752
568.0,0.752
569.0,0.752
570.0,0.752
571.0,0.752
572.0,0.751
573.0,0.751
574.0,0.751
575.0,0.751
576.0,0.75
577.0,0.749
578.0,0.749
579.0,0.748
580.0,0.747
581.0,0.747
582.0,0.748
583.0,0.748
584.0,0.749
585.0,0.75
586.0,0.75
587.0,0.751
588.0,0.751
589.0,0.751
590.0,0.751
591.0,0.751
592.0,0.751
593.0,0.752
594.0,0.752
