Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, Mastcam-Z resolution"
Date Added,2017-11-11 07:12:54.582712

Data ID,WWU_Sulf_96         
Sample ID,Mg_Sulf_MCZ_06
Mineral Name,50% Anhydrite-50% Bassanite MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic calcium sulfate

Wavelength
495.0,0.723468
527.0,0.734785
554.0,0.739889
600.0,0.751429
640.0,0.758107
676.0,0.765202
751.0,0.781802
805.0,0.790806
867.0,0.800846
908.0,0.80706
937.0,0.810096
975.0,0.813518
1012.0,0.819197
