Database of Origin,ASTER / ECOSTRESS Spectral Library
Sample Description,ASTER / ECOSTRESS Medium Cummingtonite
Other Information,mineral.silicate.inosilicate.medium.vswir.in-6a.jpl.perkin.spectrum.txt
Date Added,2018-06-29 20:04:40.799498

Data ID,ASTR_367            
Sample ID,IN-6A
Mineral Name,Cummingtonite
Locality,USA/ South Dakota.
Grain Size,45-125um
Formula,(Mg/Fe^2+)_7Si_8O_22(OH)_2
Material Class,silicate

Wavelength
400.0,0.060918
401.0,0.061134
402.0,0.061308999999999995
403.0,0.061502999999999995
404.0,0.061696
405.0,0.061883
406.0,0.062033
407.0,0.062240000000000004
408.0,0.062359
409.0,0.062492
410.0,0.062638
411.0,0.062739
412.0,0.06285
413.0,0.062988
414.0,0.06312000000000001
415.0,0.063238
416.0,0.06336
417.0,0.063474
418.0,0.063568
419.0,0.063681
420.0,0.063803
421.0,0.063942
422.0,0.064101
423.0,0.06428
424.0,0.06443800000000001
425.0,0.064611
426.0,0.06477000000000001
427.0,0.064958
428.0,0.065097
429.0,0.065243
430.0,0.065386
431.0,0.065445
432.0,0.065556
433.0,0.06568299999999999
434.0,0.065824
435.0,0.065984
436.0,0.066109
437.0,0.066236
438.0,0.066429
439.0,0.066607
440.0,0.06678
441.0,0.066912
442.0,0.06708700000000001
443.0,0.067279
444.0,0.067482
445.0,0.06766
446.0,0.06782099999999999
447.0,0.067953
448.0,0.06805900000000001
449.0,0.068179
450.0,0.06832200000000001
451.0,0.068459
452.0,0.068536
453.0,0.068632
454.0,0.068784
455.0,0.068854
456.0,0.069029
457.0,0.069154
458.0,0.069261
459.0,0.069396
460.0,0.069499
461.0,0.069647
462.0,0.069759
463.0,0.069858
464.0,0.069934
465.0,0.070091
466.0,0.070195
467.0,0.07033400000000001
468.0,0.07039
469.0,0.070508
470.0,0.070584
471.0,0.070686
472.0,0.070703
473.0,0.07073800000000001
474.0,0.070766
475.0,0.070829
476.0,0.070979
477.0,0.071102
478.0,0.071256
479.0,0.071464
480.0,0.071717
481.0,0.07192
482.0,0.072141
483.0,0.072302
484.0,0.07244500000000001
485.0,0.072504
486.0,0.072626
487.0,0.07276200000000001
488.0,0.07284600000000001
489.0,0.072953
490.0,0.073023
491.0,0.07319
492.0,0.073371
493.0,0.07352299999999999
494.0,0.073646
495.0,0.073846
496.0,0.073987
497.0,0.074154
498.0,0.074307
499.0,0.074455
500.0,0.074481
501.0,0.074611
502.0,0.07461999999999999
503.0,0.074645
504.0,0.074625
505.0,0.074581
506.0,0.074461
507.0,0.074441
508.0,0.074303
509.0,0.074287
510.0,0.074336
511.0,0.074461
512.0,0.074673
513.0,0.07492700000000001
514.0,0.075238
515.0,0.075581
516.0,0.07588199999999999
517.0,0.076179
518.0,0.076469
519.0,0.076725
520.0,0.076959
521.0,0.07717
522.0,0.077398
523.0,0.077541
524.0,0.077736
525.0,0.07787899999999999
526.0,0.078013
527.0,0.07814499999999999
528.0,0.07828
529.0,0.078394
530.0,0.07853500000000001
531.0,0.078666
532.0,0.078791
533.0,0.078911
534.0,0.07903500000000001
535.0,0.079133
536.0,0.079232
537.0,0.079333
538.0,0.079425
539.0,0.079478
540.0,0.079514
541.0,0.07953299999999999
542.0,0.079548
543.0,0.079555
544.0,0.079521
545.0,0.0795
546.0,0.079469
547.0,0.07942199999999999
548.0,0.07937
549.0,0.07932
550.0,0.079273
551.0,0.079275
552.0,0.079329
553.0,0.07935500000000001
554.0,0.079419
555.0,0.079535
556.0,0.079719
557.0,0.079883
558.0,0.080011
559.0,0.080198
560.0,0.080345
561.0,0.080448
562.0,0.080447
563.0,0.080565
564.0,0.08069100000000001
565.0,0.080739
566.0,0.080811
567.0,0.080875
568.0,0.080923
569.0,0.080978
570.0,0.081024
571.0,0.081067
572.0,0.08107400000000001
573.0,0.081083
574.0,0.081112
575.0,0.081127
576.0,0.081123
577.0,0.08114
578.0,0.08119199999999999
579.0,0.08116899999999999
580.0,0.081147
581.0,0.08111800000000001
582.0,0.08117
583.0,0.08115800000000001
584.0,0.08113200000000001
585.0,0.081107
586.0,0.081097
587.0,0.081095
588.0,0.081083
589.0,0.081056
590.0,0.081051
591.0,0.08103099999999999
592.0,0.081
593.0,0.08098000000000001
594.0,0.080937
595.0,0.080906
596.0,0.080872
597.0,0.08083399999999999
598.0,0.080755
599.0,0.080689
600.0,0.080624
601.0,0.080589
602.0,0.080545
603.0,0.080515
604.0,0.08045400000000001
605.0,0.080418
606.0,0.08037599999999999
607.0,0.080333
608.0,0.080319
609.0,0.080269
610.0,0.080206
611.0,0.080143
612.0,0.08009499999999999
613.0,0.080047
614.0,0.080011
615.0,0.079958
616.0,0.079903
617.0,0.079851
618.0,0.07980000000000001
619.0,0.07977000000000001
620.0,0.079759
621.0,0.079693
622.0,0.079627
623.0,0.079584
624.0,0.079543
625.0,0.079501
626.0,0.079447
627.0,0.07942199999999999
628.0,0.07936700000000001
629.0,0.079314
630.0,0.079264
631.0,0.079183
632.0,0.079143
633.0,0.079098
634.0,0.079049
635.0,0.079002
636.0,0.078982
637.0,0.07895400000000001
638.0,0.078869
639.0,0.078804
640.0,0.078773
641.0,0.078705
642.0,0.07864499999999999
643.0,0.078618
644.0,0.078578
645.0,0.078505
646.0,0.07844999999999999
647.0,0.078384
648.0,0.078351
649.0,0.078295
650.0,0.078225
651.0,0.07818900000000001
652.0,0.078141
653.0,0.078058
654.0,0.078005
655.0,0.07796299999999999
656.0,0.077924
657.0,0.077849
658.0,0.077793
659.0,0.07777
660.0,0.077682
661.0,0.077636
662.0,0.07761
663.0,0.077527
664.0,0.077467
665.0,0.07744100000000001
666.0,0.077418
667.0,0.07736
668.0,0.077297
669.0,0.077238
670.0,0.07717399999999999
671.0,0.077138
672.0,0.077135
673.0,0.07704
674.0,0.077014
675.0,0.077002
676.0,0.07694200000000001
677.0,0.076879
678.0,0.076818
679.0,0.076772
680.0,0.076752
681.0,0.07669
682.0,0.076642
683.0,0.076588
684.0,0.076542
685.0,0.076506
686.0,0.076461
687.0,0.076427
688.0,0.07640799999999999
689.0,0.076351
690.0,0.07631700000000001
691.0,0.076318
692.0,0.07624
693.0,0.076199
694.0,0.076174
695.0,0.07613299999999999
696.0,0.07613400000000001
697.0,0.076096
698.0,0.07605
699.0,0.076016
700.0,0.07599
701.0,0.07595
702.0,0.07591
703.0,0.075891
704.0,0.07585700000000001
705.0,0.075877
706.0,0.075854
707.0,0.075831
708.0,0.075789
709.0,0.07572899999999999
710.0,0.075727
711.0,0.07575599999999999
712.0,0.07574399999999999
713.0,0.07570400000000001
714.0,0.075668
715.0,0.075655
716.0,0.075668
717.0,0.075627
718.0,0.075632
719.0,0.075565
720.0,0.075595
721.0,0.075611
722.0,0.07558
723.0,0.07555200000000001
724.0,0.075581
725.0,0.075567
726.0,0.075573
727.0,0.075515
728.0,0.075506
729.0,0.075494
730.0,0.075522
731.0,0.07554
732.0,0.075492
733.0,0.075499
734.0,0.075488
735.0,0.075514
736.0,0.075458
737.0,0.075486
738.0,0.075507
739.0,0.07547100000000001
740.0,0.07555100000000001
741.0,0.07552500000000001
742.0,0.075516
743.0,0.075502
744.0,0.075488
745.0,0.075532
746.0,0.075477
747.0,0.075473
748.0,0.075519
749.0,0.075536
750.0,0.075564
751.0,0.07548099999999999
752.0,0.075556
753.0,0.0755
754.0,0.07549
755.0,0.075511
756.0,0.075533
757.0,0.075543
758.0,0.075531
759.0,0.075529
760.0,0.075547
761.0,0.075591
762.0,0.07556
763.0,0.07551000000000001
764.0,0.075557
765.0,0.075571
766.0,0.075531
767.0,0.075544
768.0,0.075503
769.0,0.075559
770.0,0.075518
771.0,0.075547
772.0,0.075515
773.0,0.07546
774.0,0.075434
775.0,0.075501
776.0,0.075454
777.0,0.075458
778.0,0.0754
779.0,0.075377
780.0,0.075355
781.0,0.075404
782.0,0.075463
783.0,0.075411
784.0,0.07530300000000001
785.0,0.075354
786.0,0.075322
787.0,0.075342
788.0,0.075252
789.0,0.075195
790.0,0.075103
791.0,0.075047
792.0,0.075055
793.0,0.075014
794.0,0.074986
795.0,0.07481600000000001
796.0,0.074862
797.0,0.074797
798.0,0.074708
799.0,0.07466300000000001
800.0,0.074604
801.0,0.07450999999999999
802.0,0.074483
803.0,0.07438399999999999
804.0,0.074238
805.0,0.074166
806.0,0.07409099999999999
807.0,0.073918
808.0,0.073894
809.0,0.07377500000000001
810.0,0.073586
811.0,0.07349599999999999
812.0,0.073332
813.0,0.073231
814.0,0.073226
815.0,0.073121
816.0,0.072865
817.0,0.072854
818.0,0.07270599999999999
819.0,0.072547
820.0,0.07241399999999999
821.0,0.07222400000000001
822.0,0.072115
823.0,0.07187700000000001
824.0,0.071739
825.0,0.07159
826.0,0.071438
827.0,0.07133099999999999
828.0,0.07106900000000001
829.0,0.070949
830.0,0.07083400000000001
831.0,0.07065199999999999
832.0,0.070534
833.0,0.070301
834.0,0.070093
835.0,0.069923
836.0,0.069776
837.0,0.069592
838.0,0.06936099999999999
839.0,0.069243
840.0,0.06892999999999999
841.0,0.0687
842.0,0.068424
843.0,0.068323
844.0,0.068212
845.0,0.068003
846.0,0.067798
847.0,0.067604
848.0,0.06733399999999999
849.0,0.067205
850.0,0.066981
851.0,0.066728
852.0,0.066411
853.0,0.06636199999999999
854.0,0.06608399999999999
855.0,0.06591999999999999
856.0,0.065599
857.0,0.065473
858.0,0.065164
859.0,0.064927
860.0,0.063568
861.0,0.059898
862.0,0.059653
863.0,0.059132
864.0,0.058509000000000005
865.0,0.05883
866.0,0.058304999999999996
867.0,0.058463
868.0,0.057714999999999995
869.0,0.058481
870.0,0.0574
871.0,0.057812
872.0,0.056947
873.0,0.056870000000000004
874.0,0.056645
875.0,0.056835000000000004
876.0,0.05579
877.0,0.056811999999999994
878.0,0.055251999999999996
879.0,0.055709
880.0,0.055082000000000006
881.0,0.055404
882.0,0.05482
883.0,0.054233
884.0,0.05471
885.0,0.054112999999999994
886.0,0.053284000000000005
887.0,0.054157000000000004
888.0,0.053566
889.0,0.053703
890.0,0.05334
891.0,0.05315
892.0,0.05274
893.0,0.054130000000000005
894.0,0.052653
895.0,0.052405
896.0,0.052224000000000007
897.0,0.052022000000000006
898.0,0.051733
899.0,0.052058999999999994
900.0,0.051658
901.0,0.051495
902.0,0.050347
903.0,0.051121999999999994
904.0,0.051040999999999996
905.0,0.050986000000000004
906.0,0.050644
907.0,0.050465
908.0,0.049960000000000004
909.0,0.05068399999999999
910.0,0.050313
911.0,0.050487000000000004
912.0,0.049763
913.0,0.049329
914.0,0.049406
915.0,0.049847999999999996
916.0,0.049124999999999995
917.0,0.049078
918.0,0.049473
919.0,0.0493
920.0,0.049163
921.0,0.048541
922.0,0.048258999999999996
923.0,0.049146
924.0,0.049269999999999994
925.0,0.048652
926.0,0.048426
927.0,0.048221
928.0,0.048914
929.0,0.048815
930.0,0.047632
931.0,0.047472
932.0,0.047379
933.0,0.047792
934.0,0.047973999999999996
935.0,0.04731900000000001
936.0,0.047328
937.0,0.048009
938.0,0.047889999999999995
939.0,0.047747000000000005
940.0,0.047221
941.0,0.046631
942.0,0.047336
943.0,0.047152
944.0,0.047264
945.0,0.046796
946.0,0.046735
947.0,0.046799999999999994
948.0,0.046451
949.0,0.046502
950.0,0.047011000000000004
951.0,0.046521
952.0,0.046575
953.0,0.046826999999999994
954.0,0.04683
955.0,0.046359000000000004
956.0,0.046635
957.0,0.046681999999999994
958.0,0.046905999999999996
959.0,0.046351
960.0,0.046924
961.0,0.046693
962.0,0.046121999999999996
963.0,0.046308999999999996
964.0,0.046723
965.0,0.046125
966.0,0.046498
967.0,0.046266
968.0,0.045665
969.0,0.045267
970.0,0.046612
971.0,0.046239
972.0,0.046487
973.0,0.046593
974.0,0.046693
975.0,0.046117
976.0,0.046322
977.0,0.046106
978.0,0.046349999999999995
979.0,0.046152
980.0,0.046685
981.0,0.04701399999999999
982.0,0.04724999999999999
983.0,0.046188
984.0,0.046575
985.0,0.046804
986.0,0.04677
987.0,0.046424
988.0,0.047041000000000006
989.0,0.046834
990.0,0.04714
991.0,0.0467
992.0,0.047532
993.0,0.04617
994.0,0.047091
995.0,0.046577
996.0,0.047259
997.0,0.046681
998.0,0.047448
999.0,0.046776
1000.0,0.047491000000000005
1001.0,0.047304000000000006
1002.0,0.047237
1003.0,0.047675
1004.0,0.047754000000000005
1005.0,0.047792
1006.0,0.047763
1007.0,0.04723
1008.0,0.048182
1009.0,0.047424
1010.0,0.04867
1011.0,0.047947
1012.0,0.04885900000000001
1013.0,0.04825
1014.0,0.047909
1015.0,0.048467
1016.0,0.049082
1017.0,0.048836000000000004
1018.0,0.049475
1019.0,0.049052
1020.0,0.04917099999999999
1021.0,0.048944999999999995
1022.0,0.050856000000000005
1023.0,0.049305
1024.0,0.049798999999999996
1025.0,0.049677
1026.0,0.050157
1027.0,0.050282999999999994
1028.0,0.050682
1029.0,0.050462
1030.0,0.051556
1031.0,0.051048
1032.0,0.051024
1033.0,0.051135
1034.0,0.051623
1035.0,0.051126
1036.0,0.052504999999999996
1037.0,0.051625
1038.0,0.051957
1039.0,0.05250200000000001
1040.0,0.053389
1041.0,0.051509
1042.0,0.053785
1043.0,0.051962
1044.0,0.054014
1045.0,0.053567000000000004
1046.0,0.054484000000000005
1047.0,0.05358399999999999
1048.0,0.054791
1049.0,0.054837
1050.0,0.055612
1051.0,0.054988
1052.0,0.055344
1053.0,0.055241
1054.0,0.055972999999999995
1055.0,0.055816
1056.0,0.056540999999999994
1057.0,0.055824
1058.0,0.057506
1059.0,0.056417999999999996
1060.0,0.058353
1061.0,0.056651
1062.0,0.058807
1063.0,0.057956
1064.0,0.059014
1065.0,0.058091
1066.0,0.059454
1067.0,0.058966000000000005
1068.0,0.058739
1069.0,0.060243000000000005
1070.0,0.058038
1071.0,0.060403000000000005
1072.0,0.060806
1073.0,0.059662
1074.0,0.062023999999999996
1075.0,0.060117000000000004
1076.0,0.062118
1077.0,0.060062
1078.0,0.061753999999999996
1079.0,0.061756000000000005
1080.0,0.062419
1081.0,0.060911999999999994
1082.0,0.062225
1083.0,0.06154
1084.0,0.06332600000000001
1085.0,0.061453
1086.0,0.064442
1087.0,0.062252999999999996
1088.0,0.063623
1089.0,0.06349199999999999
1090.0,0.063971
1091.0,0.062103
1092.0,0.06407199999999999
1093.0,0.062584
1094.0,0.065103
1095.0,0.063527
1096.0,0.064656
1097.0,0.06432
1098.0,0.064503
1099.0,0.06434000000000001
1100.0,0.065577
1101.0,0.06377
1102.0,0.06575
1103.0,0.064065
1104.0,0.065831
1105.0,0.065354
1106.0,0.066144
1107.0,0.06496
1108.0,0.066358
1109.0,0.065356
1110.0,0.066307
1111.0,0.064954
1112.0,0.066173
1113.0,0.066083
1114.0,0.067165
1115.0,0.066231
1116.0,0.065884
1117.0,0.065444
1118.0,0.06658800000000001
1119.0,0.065739
1120.0,0.06626
1121.0,0.06594
1122.0,0.067928
1123.0,0.066589
1124.0,0.067531
1125.0,0.066497
1126.0,0.067358
1127.0,0.066028
1128.0,0.066887
1129.0,0.06690299999999999
1130.0,0.068112
1131.0,0.06773900000000001
1132.0,0.068673
1133.0,0.067348
1134.0,0.067676
1135.0,0.066658
1136.0,0.067168
1137.0,0.067714
1138.0,0.067659
1139.0,0.066958
1140.0,0.067723
1141.0,0.06700300000000001
1142.0,0.068546
1143.0,0.067371
1144.0,0.067937
1145.0,0.067617
1146.0,0.067885
1147.0,0.06765
1148.0,0.068272
1149.0,0.068469
1150.0,0.068263
