Database of Origin,ASTER / ECOSTRESS Spectral Library
Sample Description,ASTER / ECOSTRESS Medium Brucite
Other Information,mineral.hydroxide.none.medium.vswir.oh-1a.jpl.beckman.spectrum.txt
Date Added,2018-06-29 20:04:34.551537

Data ID,ASTR_188            
Sample ID,OH-1A
Mineral Name,Brucite
Locality,USA/ Nevada/ Nye County/ Gabbs
Grain Size,45-125um
Formula,Mg(OH)_2
Material Class,hydroxide

Wavelength
401.0,0.5361
402.0,0.5407
403.0,0.5459
404.0,0.5574
405.0,0.5660000000000001
406.0,0.5729
407.0,0.5763
408.0,0.5769
409.0,0.585
410.0,0.593
411.0,0.6017
412.0,0.6043999999999999
413.0,0.6028
414.0,0.6108
415.0,0.6188
416.0,0.6246
417.0,0.6258
418.0,0.6246
419.0,0.631
420.0,0.6343
421.0,0.6406999999999999
422.0,0.6448
423.0,0.6419
424.0,0.6453
425.0,0.6528
426.0,0.6591
427.0,0.6613
428.0,0.6591
429.0,0.6637000000000001
430.0,0.6689
431.0,0.6769
432.0,0.6809000000000001
433.0,0.6769
434.0,0.6827
435.0,0.6883
436.0,0.6934999999999999
437.0,0.7011
438.0,0.7016
439.0,0.7011
440.0,0.7068000000000001
441.0,0.716
442.0,0.7223
443.0,0.7204999999999999
444.0,0.7204999999999999
445.0,0.7252
446.0,0.7361
447.0,0.7413
448.0,0.7424
449.0,0.7390000000000001
450.0,0.7419
451.0,0.7539
452.0,0.7568
453.0,0.7585
454.0,0.7609
455.0,0.7614
456.0,0.7672
457.0,0.7741
458.0,0.7746999999999999
459.0,0.7736
460.0,0.773
461.0,0.78
462.0,0.7781999999999999
463.0,0.7834
464.0,0.7875
465.0,0.7920999999999999
466.0,0.7920999999999999
467.0,0.7875
468.0,0.7881999999999999
469.0,0.7904000000000001
470.0,0.7973
471.0,0.799
472.0,0.7938
473.0,0.7928000000000001
474.0,0.7957
475.0,0.802
476.0,0.8043
477.0,0.8031
478.0,0.7975
479.0,0.7981
480.0,0.8038
481.0,0.8078
482.0,0.8067
483.0,0.805
484.0,0.8033
485.0,0.8045
486.0,0.8097
487.0,0.8142
488.0,0.8131
489.0,0.8126000000000001
490.0,0.8079999999999999
491.0,0.8114
492.0,0.8155
493.0,0.8156
494.0,0.8179000000000001
495.0,0.8131999999999999
496.0,0.8127
497.0,0.815
498.0,0.8190999999999999
499.0,0.8208
500.0,0.8162
501.0,0.8151
502.0,0.8173999999999999
503.0,0.8184999999999999
504.0,0.8248000000000001
505.0,0.8231
506.0,0.8208
507.0,0.818
508.0,0.8212999999999999
509.0,0.826
510.0,0.8254
511.0,0.8237000000000001
512.0,0.8208
513.0,0.8225
514.0,0.8254
515.0,0.826
516.0,0.8283
517.0,0.8237000000000001
518.0,0.8231
519.0,0.8277
520.0,0.8323
521.0,0.8318000000000001
522.0,0.8294
523.0,0.8277
524.0,0.826
525.0,0.8318000000000001
526.0,0.8392000000000001
527.0,0.8364
528.0,0.8334999999999999
529.0,0.83
530.0,0.8358
531.0,0.8403
532.0,0.8398
533.0,0.8358
534.0,0.8341
535.0,0.838
536.0,0.8421
537.0,0.8443999999999999
538.0,0.8403
539.0,0.8351999999999999
540.0,0.838
541.0,0.845
542.0,0.8438
