Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:54:42.916820

Data ID,WWU_Sulf_68         
Sample ID,Mg_Sulf_MCZ_08
Mineral Name,30% Kieserite-70% Epsomite MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic magnesium sulfate

Wavelength
495.0,0.75183
527.0,0.751796
554.0,0.751552
600.0,0.751133
640.0,0.748376
676.0,0.745862
751.0,0.744424
805.0,0.744668
867.0,0.74567
908.0,0.742971
937.0,0.737571
975.0,0.705632
1012.0,0.708182
