Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:54:43.098428

Data ID,WWU_Sulf_88         
Sample ID,Mg_Sulf_MCZ_28
Mineral Name,30% Hexahydrite-70% Epsomite MCZ
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,synthetic magnesium sulfate

Wavelength
495.0,0.636097
527.0,0.636852
554.0,0.637456
600.0,0.637454
640.0,0.63655
676.0,0.635793
751.0,0.637511
805.0,0.64023
867.0,0.639218
908.0,0.632048
937.0,0.622348
975.0,0.575288
1012.0,0.578555
