,RED
671.0,0.63072711
672.0,0.36738271
673.0,0.47053503
674.0,0.25941996
675.0,0.42957186
676.0,0.44188316
677.0,0.60998598
678.0,0.30210192
679.0,0.41378011
680.0,0.31138002
681.0,0.20567551
682.0,0.31231029
683.0,0.37250962
684.0,0.45487279
685.0,0.33371028
686.0,0.29544056
687.0,0.30282694
688.0,0.47859612
689.0,0.25246106
690.0,0.13622477
691.0,0.44124931
692.0,0.41967921
693.0,0.49175607
694.0,0.30673577
695.0,0.34500067
696.0,0.37151554
697.0,0.35936319
698.0,0.41292609
699.0,0.47596459
700.0,0.45045592
701.0,0.38573652
702.0,0.39546548
703.0,0.32666887
704.0,0.42220028
705.0,0.35206992
706.0,0.38703497
707.0,0.39277085
708.0,0.52013007
709.0,0.35661494
710.0,0.39230057
711.0,0.35336083
712.0,0.30867592
713.0,0.33531498
714.0,0.55445233
715.0,0.48676991
716.0,0.36251866
717.0,0.41017046
718.0,0.33803545
719.0,0.33153565
720.0,0.30254234
721.0,0.4381858
722.0,0.3353095
723.0,0.3730501
724.0,0.30454422
725.0,0.42827456
726.0,0.410729
727.0,0.44898594
728.0,0.58250825
729.0,0.53736182
730.0,0.43058725
731.0,0.52437483
732.0,0.51272546
733.0,0.30729923
734.0,0.46115074
735.0,0.55756309
736.0,0.43889306
737.0,0.41952744
738.0,0.48035179
739.0,0.37669156
740.0,0.45813044
741.0,0.56694439
742.0,0.54990905
743.0,0.43992072
744.0,0.54586164
745.0,0.57021056
746.0,0.4933764
747.0,0.38111087
748.0,0.44934048
749.0,0.30096685
750.0,0.33466056
751.0,0.38794155
752.0,0.40335771
753.0,0.26808188
754.0,0.31760364
755.0,0.45844348
756.0,0.45275433
757.0,0.47560534
758.0,0.52619843
759.0,0.4231568
760.0,0.30902269
761.0,0.45733596
762.0,0.4896165
763.0,0.56145876
764.0,0.52656266
765.0,0.54924794
766.0,0.47458285
767.0,0.5985429
768.0,0.81195425
769.0,0.96453315
770.0,1.1868868
771.0,1.448872
772.0,1.6101214
773.0,1.9245411
