,PAN
714.0,1881.2864
715.0,1843.3349
716.0,1876.8334
717.0,1880.8258
718.0,1875.0814
719.0,1800.85
720.0,1868.5711
721.0,1879.393
722.0,1901.4863
723.0,1888.236
724.0,1914.8655
725.0,1899.2198
726.0,1904.0213
727.0,1911.4739
728.0,1909.7215
729.0,1825.6949
730.0,1912.9685
731.0,1880.8294
732.0,1919.2408
733.0,1894.6621
734.0,1939.0422
735.0,1925.2759
736.0,1907.5033
737.0,1919.196
738.0,1905.5816
739.0,1863.0494
740.0,1889.7857
741.0,1877.536
742.0,1872.7902
743.0,1916.0386
744.0,1929.6039
745.0,1927.0838
746.0,1920.1565
747.0,1919.6843
748.0,1905.721
749.0,1896.2299
750.0,1892.3015
751.0,1884.0165
752.0,1888.6455
753.0,1872.6605
754.0,1896.6054
755.0,1889.753
756.0,1869.2793
757.0,1868.2333
758.0,1888.9517
759.0,1867.6677
760.0,1891.6681
761.0,1887.4643
762.0,1896.1396
763.0,1919.4682
764.0,1931.9103
765.0,1921.107
766.0,1863.9378
767.0,1900.8843
768.0,1935.9068
769.0,1918.1418
770.0,1925.2834
771.0,1908.108
772.0,1920.4765
773.0,1921.8318
774.0,1920.4978
775.0,1922.5731
776.0,1931.6009
777.0,1923.3496
778.0,1924.7592
779.0,1934.3417
780.0,1910.8649
781.0,1902.4077
782.0,1904.8421
783.0,1893.0786
784.0,1878.9222
785.0,1888.9417
786.0,1899.5616
787.0,1902.5315
788.0,1898.493
789.0,1907.0891
790.0,1892.5764
791.0,1877.4179
792.0,1845.0585
793.0,1821.9482
794.0,1775.6025
795.0,1779.9899
796.0,1820.6024
797.0,1877.2877
798.0,1850.4242
799.0,1666.4965
800.0,1306.3908
801.0,881.18393
802.0,511.03231
803.0,274.73463
804.0,150.31086
805.0,81.023193
806.0,48.593127
807.0,28.964063
808.0,18.131937
809.0,11.555407
810.0,7.7027395
811.0,5.2787765
812.0,3.7072234
813.0,2.6909054
814.0,1.9790815
815.0,1.3446279
816.0,1.0634887
817.0,0.95810681
818.0,0.79377845
819.0,0.52919418
820.0,0.55515428
821.0,0.35162343
822.0,0.3162633
823.0,0.22218384
824.0,0.3552617
825.0,0.15329286
826.0,0.13461397
827.0,-0.012901344
828.0,0.10506055
829.0,0.21891272
830.0,0.13288933
831.0,0.19798161
832.0,0.19067042
833.0,0.34557304
834.0,-0.018049835
835.0,0.34358655
836.0,0.036724132
837.0,-0.029115934
838.0,0.22216459
839.0,0.059257934
840.0,0.17048865
841.0,-0.021891988
842.0,0.16956164
843.0,0.078388345
844.0,0.27906689
845.0,0.07206364
846.0,0.32731688
847.0,0.21615127
848.0,-0.083076688
849.0,0.11068641
850.0,0.19463797
851.0,0.13482854
852.0,0.24475732
853.0,0.38341524
854.0,0.3355323
855.0,0.30645332
856.0,0.30751858
857.0,0.29496375
858.0,0.3268541
859.0,0.34420821
860.0,0.37690632
861.0,0.38309395
862.0,0.37932972
863.0,0.39910912
864.0,0.41280746
865.0,0.42791764
866.0,0.39988464
867.0,0.46414581
868.0,0.45859118
869.0,0.44399123
870.0,0.54035606
871.0,0.54706214
872.0,0.52150836
873.0,0.48966068
874.0,0.47554062
875.0,0.44165278
876.0,0.43090857
877.0,0.44203598
878.0,0.45779325
879.0,0.43173651
880.0,0.42560215
881.0,0.41408695
882.0,0.43792797
883.0,0.46863143
884.0,0.46606153
885.0,0.45981053
886.0,0.45288033
887.0,0.50001714
888.0,0.44103684
889.0,0.36139558
890.0,0.31102878
891.0,0.2562815
892.0,0.10030258
893.0,0.070630748
894.0,0.075839824
895.0,0.1074193
896.0,0.071691509
897.0,0.072757092
898.0,-0.025183045
899.0,0.0046443488
900.0,0.010822455
901.0,-0.006080586
902.0,-0.032462399
903.0,0.023194455
904.0,0.024608086
905.0,0.030547777
906.0,0.016602148
907.0,0.0030247364
908.0,0.080161354
909.0,-0.047787281
910.0,0.0058158657
911.0,0.0086844195
912.0,0.015760647
913.0,0.070395785
914.0,-0.057074002
915.0,0.0056469274
916.0,0.0042375165
917.0,0.0069815408
918.0,0.012523802
919.0,0.015270655
920.0,0.0027531244
921.0,0.0080720527
922.0,0.053192255
923.0,-0.015376185
924.0,0.0066781531
925.0,-0.0067241615
926.0,0.014257415
927.0,-0.0026979797
928.0,0.0
929.0,0.0013190236
930.0,-0.018549309
931.0,0.011893242
932.0,0.10997773
933.0,0.017070751
934.0,0.018295889
935.0,0.012813266
936.0,0.017826591
937.0,0.053490686
938.0,0.12356221
939.0,0.040541869
940.0,0.12427269
941.0,0.12036965
942.0,0.11252649
943.0,0.091797983
944.0,0.07641466
945.0,0.044669227
946.0,0.11286156
947.0,0.032536099
948.0,0.019666674
949.0,0.019544509
950.0,0.022611419
951.0,0.011067793
952.0,-0.0010998346
953.0,0.0043341507
954.0,-0.0042434835
955.0,0.0079911131
956.0,-0.0051589552
957.0,0.016402653
958.0,0.089914725
959.0,0.011198485
960.0,0.020938343
961.0,0.011814249
962.0,0.0058512686
963.0,0.023123904
964.0,0.062211444
965.0,0.0057080657
966.0,0.0074587692
967.0,0.015848896
968.0,0.0091536485
969.0,-0.00091166819
970.0,-0.071781823
971.0,-0.00089369365
972.0,-0.012524967
973.0,-0.015851752
974.0,0.013832912
975.0,0.0086418355
976.0,0.012972246
977.0,0.016964787
978.0,0.0076721354
979.0,0.012492049
980.0,0.01581037
981.0,0.016419658
982.0,0.019664553
983.0,0.016196544
984.0,0.013466935
985.0,0.015789769
986.0,0.010025622
987.0,0.013717893
988.0,0.027729649
989.0,0.064880483
990.0,0.031710972
991.0,0.026530485
992.0,0.0077032681
993.0,0.0048411125
994.0,0.0081981245
995.0,0.0079948525
996.0,0.026846375
997.0,0.03733279
998.0,0.0012464777
999.0,0.016512995
1000.0,0.012010991
1001.0,0.0017747731
1002.0,-0.00057952651
1003.0,0.0
1004.0,0.00054926855
1005.0,-0.0015142773
1006.0,-0.0031251678
1007.0,-0.0057183233
1008.0,0.0097303108
1009.0,0.024546389
1010.0,0.00098925754
1011.0,0.003867808
1012.0,0.0061590869
1013.0,0.0078508223
1014.0,0.0068395172
1015.0,0.0061779123
1016.0,0.0069676952
1017.0,0.0063935245
1018.0,0.0042470866
1019.0,0.006894985
1020.0,0.0072369101
1021.0,0.0095149917
1022.0,-0.0030831958
1023.0,-0.014838653
1024.0,0.0011275681
1025.0,0.0029443353
1026.0,0.0039607825
1027.0,0.012290249
1028.0,0.019636039
1029.0,0.015726276
1030.0,0.017383711
1031.0,0.01089918
1032.0,0.0062594639
1033.0,0.0089898255
1034.0,0.015589164
1035.0,0.021375644
1036.0,0.023651922
