,BLU
582.0,0.87621824
583.0,0.50452185
584.0,0.41883734
585.0,0.49261779
586.0,0.20690204
587.0,0.41361496
588.0,0.2490531
589.0,0.42643123
590.0,0.16563771
591.0,0.73141008
592.0,0.3333649
593.0,0.54162317
594.0,0.22071021
595.0,0.65435344
596.0,0.22015677
597.0,0.34604801
598.0,0.45209042
599.0,0.35803074
600.0,0.29853816
601.0,0.17525444
602.0,0.44700585
603.0,-0.11945931
604.0,0.16545951
605.0,-0.025849886
606.0,0.35298158
607.0,-0.34978395
608.0,0.25563218
609.0,-0.029237457
610.0,0.290422
611.0,-0.22342797
612.0,0.17207048
613.0,-0.0019241361
614.0,0.091496132
615.0,-0.11799916
616.0,-0.0018747302
617.0,-0.092737281
618.0,-0.3390449
619.0,0.089035056
620.0,-0.25251126
621.0,0.12729545
622.0,-0.099162817
623.0,0.36185533
624.0,-0.41580391
625.0,0.16863808
626.0,-0.018740664
627.0,0.27826633
628.0,0.0038563264
629.0,0.0038420873
630.0,-0.060891511
631.0,0.018975589
632.0,0.2789044
633.0,-0.24377955
634.0,0.31223292
635.0,-0.037968474
636.0,0.29822156
637.0,0.099597409
638.0,0.55350587
639.0,0.059219339
640.0,0.22006283
641.0,0.06705883
642.0,0.098769335
643.0,-0.1675844
644.0,0.057988857
645.0,0.11170806
646.0,0.18750285
647.0,-0.015025889
648.0,0.046895087
649.0,0.072607216
650.0,-0.35280247
651.0,0.19806872
652.0,-0.070719109
653.0,0.13833325
654.0,-0.19714998
655.0,0.36173503
656.0,-0.23095644
657.0,0.20483664
658.0,-0.092284498
659.0,0.049079634
660.0,-0.055245355
661.0,0.1980113
662.0,0.1674655
663.0,-0.048193196
664.0,0.18959302
665.0,-0.020435205
666.0,0.32283897
667.0,-0.074879222
668.0,0.42044771
669.0,0.15230486
670.0,0.40248123
671.0,0.19687345
672.0,0.50786539
673.0,0.27432279
674.0,0.19229863
675.0,0.12994909
676.0,0.35423609
677.0,0.30046528
678.0,0.13831979
679.0,0.37221022
680.0,0.40007397
681.0,0.48531073
682.0,0.27418083
683.0,0.53805684
684.0,0.46384027
685.0,0.51314064
686.0,0.13717081
687.0,0.45335325
688.0,0.15467609
689.0,0.27260246
690.0,0.1619944
691.0,0.14831618
692.0,-0.12353176
693.0,0.14807898
694.0,0.038573879
695.0,0.1361885
696.0,-0.075031274
697.0,0.2207256
698.0,0.1496684
699.0,0.26443117
700.0,0.04160838
701.0,0.38393361
702.0,0.33999297
703.0,0.37720913
704.0,0.42766124
705.0,0.54930513
706.0,0.59880012
707.0,0.48186551
708.0,0.66742312
709.0,0.46701979
710.0,0.54996204
711.0,0.58036986
712.0,0.8443167
713.0,0.57868691
714.0,0.77148797
715.0,0.6900383
716.0,0.73771442
717.0,0.53903315
718.0,0.7230642
719.0,0.68562947
720.0,0.61407445
721.0,0.44724279
722.0,0.41957584
723.0,0.46404026
724.0,0.3119133
725.0,0.45939302
