,NIR
859.0,53.73505
860.0,77.29223
861.0,115.02577
862.0,172.76402
863.0,259.02584
864.0,371.36411
865.0,536.19775
866.0,622.97593
867.0,840.42449
868.0,1062.3956
869.0,1196.5719
870.0,1317.8972
871.0,1362.9012
872.0,1411.3434
873.0,1405.7982
874.0,1388.899
875.0,1374.0009
876.0,1431.0535
877.0,1472.1932
878.0,1496.5605
879.0,1503.466
880.0,1544.8456
881.0,1518.4707
882.0,1574.0929
883.0,1583.3213
884.0,1595.8987
885.0,1616.1792
886.0,1568.4379
887.0,1560.3041
888.0,1583.3599
889.0,1589.1613
890.0,1585.5835
891.0,1574.9533
892.0,1565.9604
893.0,1545.5409
894.0,1558.9938
895.0,1564.5822
896.0,1581.9914
897.0,1572.742
898.0,1567.7458
899.0,1540.4295
900.0,1538.6325
901.0,1511.9726
902.0,1464.1144
903.0,1530.7548
904.0,1518.8152
905.0,1505.8181
906.0,1485.5905
907.0,1485.2722
908.0,1456.4819
909.0,1418.0302
910.0,1421.2003
911.0,1418.5161
912.0,1404.6479
913.0,1410.7812
914.0,1405.8192
915.0,1391.5258
916.0,1397.4863
917.0,1385.9938
918.0,1382.3535
919.0,1381.5863
920.0,1371.3284
921.0,1341.8774
922.0,1326.4091
923.0,1279.0499
924.0,1330.5025
925.0,1339.5587
926.0,1288.786
927.0,1336.9453
928.0,1317.6326
929.0,1312.2089
930.0,1310.5225
931.0,1306.1386
932.0,1291.9272
933.0,1297.667
934.0,1290.2378
935.0,1266.0283
936.0,1259.4517
937.0,1260.7236
938.0,1262.2703
939.0,1258.145
940.0,1222.2445
941.0,1210.643
942.0,1166.4858
943.0,1204.225
944.0,1172.1952
945.0,1172.4768
946.0,1171.7158
947.0,1157.9182
948.0,1151.1614
949.0,1142.357
950.0,1121.7785
951.0,1095.5644
952.0,1090.0875
953.0,1069.2198
954.0,1045.1053
955.0,981.88578
956.0,1011.0431
957.0,1004.5422
958.0,1000.0347
959.0,995.66661
960.0,975.49379
961.0,962.66824
962.0,953.95724
963.0,943.48779
964.0,924.60164
965.0,934.20098
966.0,917.07563
967.0,918.10154
968.0,903.65468
969.0,903.82969
970.0,899.32788
971.0,888.89312
972.0,888.31076
973.0,874.92899
974.0,860.18522
975.0,860.34759
976.0,860.82572
977.0,844.76651
978.0,847.26275
979.0,828.67272
980.0,827.6024
981.0,815.97718
982.0,813.41219
983.0,803.7878
984.0,785.49129
985.0,782.13244
986.0,764.13188
987.0,754.54
988.0,741.71694
989.0,721.19632
990.0,712.84448
991.0,709.5862
992.0,693.28491
993.0,685.10834
994.0,676.62121
995.0,660.56718
996.0,649.8037
997.0,628.52928
998.0,618.07014
999.0,608.11587
1000.0,597.17489
1001.0,588.34847
1002.0,578.91788
1003.0,563.47069
1004.0,548.42541
1005.0,502.17939
1006.0,518.10305
1007.0,517.17272
1008.0,508.65998
1009.0,497.42285
1010.0,490.03045
1011.0,478.81694
1012.0,468.93893
1013.0,456.90199
1014.0,450.43942
1015.0,435.50498
1016.0,429.52847
1017.0,420.22987
1018.0,418.62388
1019.0,399.70461
1020.0,396.03291
1021.0,390.42683
1022.0,380.1554
1023.0,375.33369
1024.0,370.96505
1025.0,363.7295
1026.0,355.88409
1027.0,347.44772
1028.0,341.28669
1029.0,331.7649
1030.0,325.64894
1031.0,318.58671
1032.0,311.17057
1033.0,298.2155
1034.0,293.0051
1035.0,287.83497
1036.0,280.55246
1037.0,269.9668
1038.0,262.11263
1039.0,257.17411
1040.0,248.37612
1041.0,240.1781
1042.0,234.71137
1043.0,225.17118
1044.0,218.90479
1045.0,210.90474
1046.0,199.06462
1047.0,195.5813
1048.0,191.30976
1049.0,183.41385
1050.0,176.38754
1051.0,170.02631
1052.0,163.05533
1053.0,157.57347
1054.0,152.4733
1055.0,147.76055
1056.0,141.94649
1057.0,136.99148
1058.0,131.30692
1059.0,123.43366
1060.0,122.34345
1061.0,116.3115
1062.0,115.54818
1063.0,110.34338
1064.0,108.97016
1065.0,106.42722
1066.0,101.7411
1067.0,100.15829
1068.0,97.93392
1069.0,90.094331
1070.0,91.268589
1071.0,90.096735
1072.0,88.632483
1073.0,85.213071
1074.0,85.00183
1075.0,81.697452
1076.0,80.839169
1077.0,78.872873
1078.0,77.355785
1079.0,74.263127
1080.0,74.099331
1081.0,70.84259
1082.0,68.701257
1083.0,67.675535
1084.0,66.697978
1085.0,65.098635
1086.0,63.879052
1087.0,60.082738
1088.0,60.343669
1089.0,59.103546
1090.0,57.252273
1091.0,56.171934
1092.0,53.886748
1093.0,52.184531
1094.0,48.322671
1095.0,49.100554
1096.0,48.248432
1097.0,47.378755
1098.0,45.922145
1099.0,44.35672
1100.0,44.557288
